"","scenario","day","mean","sd"
"75","MB_MeanSpoilType_CT","5",1.12203013083999,3.21092087794631
"76","MB_MeanSpoilType_CT","6",1.44966491443617,3.31096175593446
"77","MB_MeanSpoilType_CT","7",1.76983469916148,3.40334756690043
"78","MB_MeanSpoilType_CT","8",2.04871732995509,3.45925149626594
"79","MB_MeanSpoilType_CT","9",2.3016564992037,3.45776013492865
"80","MB_MeanSpoilType_CT","10",2.53162408556255,3.43021904366482
"81","MB_MeanSpoilType_CT","11",2.74196624744669,3.38242333901839
"82","MB_MeanSpoilType_CT","12",2.94704927887853,3.33209248253226
"83","MB_MeanSpoilType_CT","13",3.14818968528089,3.29354863297824
"84","MB_MeanSpoilType_CT","14",3.34687117006805,3.27032021924832
"85","MB_MeanSpoilType_CT","15",3.55868166227598,3.23760734513866
"86","MB_MeanSpoilType_CT","16",3.77464209672007,3.20074678938489
"87","MB_MeanSpoilType_CT","17",3.9789618095668,3.17472227289099
"88","MB_MeanSpoilType_CT","18",4.16089161472475,3.15380091027963
"89","MB_MeanSpoilType_CT","19",4.32129622469747,3.13773851509849
"90","MB_MeanSpoilType_CT","20",4.46627440074037,3.12932139628056
"91","MB_MeanSpoilType_CT","21",4.5997519196589,3.12849280332154
"92","MB_MeanSpoilType_CT","22",4.72371132473114,3.1354419994018
"93","MB_MeanSpoilType_CT","23",4.83434791312275,3.1463932411479
"94","MB_MeanSpoilType_CT","24",4.92743755963579,3.15711483321785
"95","MB_MeanSpoilType_CT","25",5.00363048386569,3.16660224201224
"96","MB_MeanSpoilType_CT","26",5.06425515289931,3.17522755530601
"97","MB_MeanSpoilType_CT","27",5.11033536328148,3.18206460716023
"98","MB_MeanSpoilType_CT","28",5.14716840377503,3.1891817711977
"99","MB_MeanSpoilType_CT","29",5.17856326106667,3.19767298625076
"100","MB_MeanSpoilType_CT","30",5.20562527767224,3.20781093797858
"101","MB_MeanSpoilType_CT","31",5.22660988884598,3.21748632717064
"102","MB_MeanSpoilType_CT","32",5.24022119537855,3.22426999937116
"103","MB_MeanSpoilType_CT","33",5.24916742764941,3.22929541146891
"104","MB_MeanSpoilType_CT","34",5.25280351962375,3.23124382394495
"105","MB_MeanSpoilType_CT","35",5.25478162403546,3.23239003260541
"106","MB_MeanSpoilType_LT","1",-0.999769989869464,1.02762307766212
"107","MB_MeanSpoilType_LT","2",-0.802721033747557,1.26829728764373
"108","MB_MeanSpoilType_LT","3",-0.538661294747326,1.59923532780225
"109","MB_MeanSpoilType_LT","4",-0.232921612353848,1.98004800084393
"110","MB_MeanSpoilType_LT","5",0.0695200990457331,2.31445584057089
"111","MB_MeanSpoilType_LT","6",0.34857923693565,2.58511781532985
"112","MB_MeanSpoilType_LT","7",0.588445457247093,2.76585949417774
"113","MB_MeanSpoilType_LT","8",0.805096078798033,2.90848768129312
"114","MB_MeanSpoilType_LT","9",1.00830590834559,3.03572512162477
"115","MB_MeanSpoilType_LT","10",1.19538843597025,3.13979146073976
"116","MB_MeanSpoilType_LT","11",1.36957560496829,3.21491263147573
"117","MB_MeanSpoilType_LT","12",1.53359374038711,3.2767699954757
"118","MB_MeanSpoilType_LT","13",1.68664766314121,3.32647658120557
"119","MB_MeanSpoilType_LT","14",1.83260527634519,3.36959294132683
"120","MB_MeanSpoilType_LT","15",1.971684806131,3.40530146628603
"121","MB_MeanSpoilType_LT","16",2.10322153047862,3.43330933401372
"122","MB_MeanSpoilType_LT","17",2.22996215699048,3.45708180931135
"123","MB_MeanSpoilType_LT","18",2.35310134398836,3.48149644249602
"124","MB_MeanSpoilType_LT","19",2.46634140826199,3.49896993621739
"125","MB_MeanSpoilType_LT","20",2.57358098576295,3.51332013365047
"126","MB_MeanSpoilType_LT","21",2.6760565432659,3.52498826435303
"127","MB_MeanSpoilType_LT","22",2.77215774109325,3.53413900747144
"128","MB_MeanSpoilType_LT","23",2.8631781031345,3.53996420204828
"129","MB_MeanSpoilType_LT","24",2.95024151659397,3.54481652692047
"130","MB_MeanSpoilType_LT","25",3.03503599666018,3.54963418527854
"131","MB_MeanSpoilType_LT","26",3.11690641821068,3.55338568178225
"132","MB_MeanSpoilType_LT","27",3.19490569982292,3.55561724314531
"133","MB_MeanSpoilType_LT","28",3.27058952272645,3.55532860690606
"134","MB_MeanSpoilType_LT","29",3.34474078860866,3.55575287552158
"135","MB_MeanSpoilType_LT","30",3.41644904084892,3.55739493724717
