"","day","mean","sd","n"
"1",1,-1.60338520000357,1.18837942710045,100000
"2",2,-1.58156003158538,1.19704778482311,100000
"3",3,-1.52728177362094,1.22698341974954,100000
"4",4,-1.44044609564945,1.28666026370356,100000
"5",5,-1.32801168456415,1.37838090720352,100000
"6",6,-1.19418044695474,1.49722203660354,100000
"7",7,-1.04305397511664,1.63250859689098,100000
"8",8,-0.877114659181875,1.77631191835293,100000
"9",9,-0.698941350884217,1.9195974016023,100000
"10",10,-0.51074380880481,2.05960029531148,100000
"11",11,-0.315486684315127,2.19266374368416,100000
"12",12,-0.116380778237625,2.31524396280146,100000
"13",13,0.0845167341980294,2.42935471671719,100000
"14",14,0.285695288555239,2.53461615378869,100000
"15",15,0.485793088532823,2.63086245391176,100000
"16",16,0.68389435599248,2.71768195666886,100000
"17",17,0.87956275471925,2.79576957509408,100000
"18",18,1.07228301542788,2.86642403800556,100000
"19",19,1.26135672997386,2.92961247858154,100000
"20",20,1.44603398984414,2.98535975795344,100000
"21",21,1.62625582736962,3.0346788727099,100000
"22",22,1.80228934744003,3.07805453345704,100000
"23",23,1.97350149931838,3.11545668884183,100000
"24",24,2.13959113146308,3.14709054727566,100000
"25",25,2.30038717983714,3.17366807446619,100000
"26",26,2.45590790858085,3.195727907399,100000
"27",27,2.60644414858664,3.2136440653697,100000
"28",28,2.75163950265281,3.22767400793256,100000
"29",29,2.89154379716715,3.23793888171824,100000
"30",30,3.02610373377161,3.24477134040235,100000
"31",31,3.15548388954591,3.24866392868977,100000
"32",32,3.27993791038063,3.25004609681247,100000
"33",33,3.39904106209258,3.24885967093846,100000
"34",34,3.51297962407823,3.24529019937412,100000
"35",35,3.62194355231683,3.23987643073459,100000
