"","day","n_total","n_exceed20000","per_exceed20000"
"1",1,100000,0,0
"2",2,100000,0,0
"3",3,100000,0,0
"4",4,100000,13,0.013
"5",5,100000,114,0.114
"6",6,100000,376,0.376
"7",7,100000,826,0.826
"8",8,100000,1450,1.45
"9",9,100000,2240,2.24
"10",10,100000,3237,3.237
"11",11,100000,4346,4.346
"12",12,100000,5660,5.66
"13",13,100000,6988,6.988
"14",14,100000,8456,8.456
"15",15,100000,10141,10.141
"16",16,100000,11879,11.879
"17",17,100000,13745,13.745
"18",18,100000,15692,15.692
"19",19,100000,17612,17.612
"20",20,100000,19741,19.741
"21",21,100000,21881,21.881
"22",22,100000,24009,24.009
"23",23,100000,26131,26.131
"24",24,100000,28429,28.429
"25",25,100000,30793,30.793
"26",26,100000,32949,32.949
"27",27,100000,35259,35.259
"28",28,100000,37547,37.547
"29",29,100000,39806,39.806
"30",30,100000,42120,42.12
"31",31,100000,44404,44.404
"32",32,100000,46551,46.551
"33",33,100000,48634,48.634
"34",34,100000,50644,50.644
"35",35,100000,52730,52.73
