"","day","mean","sd","n"
"1",1,-1.21984748532198,1.06501924420663,100000
"2",2,-1.19616767791281,1.07388401946255,100000
"3",3,-1.13806467593589,1.10466843899946,100000
"4",4,-1.04746140130981,1.16849665201258,100000
"5",5,-0.931098598072928,1.26674882303021,100000
"6",6,-0.792524911997013,1.39214625485313,100000
"7",7,-0.635433076898682,1.53277367689798,100000
"8",8,-0.463985099195912,1.67832647516485,100000
"9",9,-0.280502194693076,1.82207716889555,100000
"10",10,-0.0888284388881483,1.95839878783445,100000
"11",11,0.109586510358938,2.08587331737695,100000
"12",12,0.311998455822631,2.20478341107815,100000
"13",13,0.515421530207623,2.31291668705701,100000
"14",14,0.718529772977576,2.41013571784166,100000
"15",15,0.920468808594674,2.49901107133888,100000
"16",16,1.12029752266539,2.57937868413692,100000
"17",17,1.31712528363718,2.65041392283324,100000
"18",18,1.51056439644679,2.71340677303827,100000
"19",19,1.69909636842157,2.76776025180642,100000
"20",20,1.88292922061515,2.81485211325279,100000
"21",21,2.06162229257703,2.8550392632062,100000
"22",22,2.23501663867319,2.8886941072453,100000
"23",23,2.40316771649369,2.9164671011504,100000
"24",24,2.56576812116231,2.93876494482057,100000
"25",25,2.72266005358063,2.95573486045345,100000
"26",26,2.87395644302935,2.96818152078222,100000
"27",27,3.01978753775173,2.97671512640253,100000
"28",28,3.16025872196346,2.98187715050958,100000
"29",29,3.29500813542266,2.98319677458985,100000
"30",30,3.4242525378902,2.98120082959531,100000
"31",31,3.54825596398386,2.97670370128043,100000
"32",32,3.66673592409512,2.96946245075636,100000
"33",33,3.78021133388003,2.96022016278012,100000
"34",34,3.88863673920941,2.94912915069919,100000
"35",35,3.99220221344055,2.93637419157182,100000
