"","day","n_total","n_exceed20000","per_exceed20000"
"1",1,100000,0,0
"2",2,100000,0,0
"3",3,100000,4,0.004
"4",4,100000,30,0.03
"5",5,100000,159,0.159
"6",6,100000,510,0.51
"7",7,100000,1076,1.076
"8",8,100000,1923,1.923
"9",9,100000,2825,2.825
"10",10,100000,3923,3.923
"11",11,100000,5122,5.122
"12",12,100000,6535,6.535
"13",13,100000,8080,8.08
"14",14,100000,9827,9.827
"15",15,100000,11654,11.654
"16",16,100000,13691,13.691
"17",17,100000,15806,15.806
"18",18,100000,17961,17.961
"19",19,100000,20317,20.317
"20",20,100000,22606,22.606
"21",21,100000,25031,25.031
"22",22,100000,27354,27.354
"23",23,100000,29752,29.752
"24",24,100000,32086,32.086
"25",25,100000,34513,34.513
"26",26,100000,37019,37.019
"27",27,100000,39544,39.544
"28",28,100000,41819,41.819
"29",29,100000,44066,44.066
"30",30,100000,46352,46.352
"31",31,100000,48498,48.498
"32",32,100000,50748,50.748
"33",33,100000,52772,52.772
"34",34,100000,54728,54.728
"35",35,100000,56591,56.591
