"","day","mean","sd","n"
"1",1,-1.1497579844297,1.10304392239212,100000
"2",2,-1.12689923010497,1.11176646466748,100000
"3",3,-1.06921000108518,1.14307696590136,100000
"4",4,-0.978206981585622,1.20703097265704,100000
"5",5,-0.860832075308137,1.30496789101324,100000
"6",6,-0.721231716294504,1.42946221902866,100000
"7",7,-0.563802451243022,1.56954860574762,100000
"8",8,-0.392503956896125,1.71405734620188,100000
"9",9,-0.209435339355926,1.85556540141092,100000
"10",10,-0.0186290573374591,1.98963013271875,100000
"11",11,0.178400700991192,2.11437675250435,100000
"12",12,0.378844364702432,2.22969236531809,100000
"13",13,0.580572819622613,2.33540937707997,100000
"14",14,0.78207788216234,2.4306102363282,100000
"15",15,0.98236748170855,2.51716971295365,100000
"16",16,1.18073792844017,2.59565617981363,100000
"17",17,1.37591160026343,2.6644236119661,100000
"18",18,1.5669665711524,2.72449925322936,100000
"19",19,1.75349468911138,2.777073342611,100000
"20",20,1.93517625575475,2.82235705330158,100000
"21",21,2.11215267801886,2.86147897993874,100000
"22",22,2.28381759793476,2.89411413267092,100000
"23",23,2.44987272120592,2.92041981522571,100000
"24",24,2.61041022244886,2.94116294469279,100000
"25",25,2.76538712490905,2.95704884836886,100000
"26",26,2.91478288895181,2.96864313152261,100000
"27",27,3.05892443825578,2.97633302238929,100000
"28",28,3.19746228284545,2.98012470875141,100000
"29",29,3.33055483218366,2.98049838738704,100000
"30",30,3.45796138073022,2.97728631072268,100000
"31",31,3.57984612700831,2.97131031121708,100000
"32",32,3.69666497385225,2.96310284139402,100000
"33",33,3.8087076814512,2.95320913688915,100000
"34",34,3.91557102244673,2.94143947220818,100000
"35",35,4.017364399466,2.92801407291048,100000
