"Isolate","biorep","lag","mumax","LOG10N0","LOG10Nmax"
"FSL R10-0531","1","29.886780133237","0.0793955103515453","2.96534817149657","8.50886768305865"
"FSL R10-0531","2","31.7749301951732","0.0776393241141264","2.9518004239209","8.497106535875"
"FSL R10-0531","3","31.901977887283","0.0726638628359552","2.9209017588136","8.446345266125"
"FSL R10-1099","1","17.8579160168036","0.0691728512191588","3.00205294869169","8.5701113705"
"FSL R10-1099","2","18.6886280114844","0.0656196021581967","3.11608606132623","8.54185197"
"FSL R10-1099","3","17.8199421361064","0.0614130206543403","3.07165285056418","8.56039919666667"
"FSL R10-1113","1","18.7164199030159","0.0684899982737772","3.34632694439471","8.69474478875"
"FSL R10-1113","2","19.4058578787176","0.0668422368240791","3.31265116835489","8.716118493875"
"FSL R10-1113","3","27.3951706356026","0.0644704330355764","3.45061438670363","8.626436061625"
"FSL R10-0941","1","8.55994469009414","0.069718347339953","3.22767499377402","8.4021691777"
"FSL R10-0941","2","4.38321701548096","0.0646145317089935","3.37100702298366","8.4102260658"
"FSL R10-0941","3","3.99986290393364","0.0621216119149663","3.3811632174209","8.41842781454334"
"FSL R10-0054","1","2.69571896401445","0.0793178213404661","3.2413703777155","8.17284393366667"
"FSL R10-0054","2","10.270865662556","0.0933177998574163","3.35109955024338","8.09416314121429"
"FSL R10-0054","3","18.2705106786118","0.080393239383612","3.41311301975","8.09518351866667"
"FSL R10-0151","1","8.00015116874263","0.0728004837841704","3.23897813686655","7.85654410872364"
"FSL R10-0151","2","12.0005459755886","0.0759100952521826","3.26773786153902","7.87639108366667"
"FSL R10-0151","3","8.00034949468914","0.0713136801249706","3.23843200794676","7.87432638634449"
"FSL R10-0553","1","7.00812858526575","0.0767147803633021","2.76969064517131","8.04709639575"
"FSL R10-0553","2","7.22814441665758","0.0738828721067205","2.92575555217741","7.98842418566667"
"FSL R10-0553","3","3.95731893304411","0.0676454297461222","2.80814441065871","8.0512545678"
