"","lag","mumax","LOG10N0","LOG10Nmax"
"R100531bioone",29.886780133237,0.0793955103515453,2.96534817149657,8.50886768305865
"R101099bioone",17.8579160168036,0.0691728512191588,3.00205294869169,8.5701113705
"R101113bioone",18.7164199030159,0.0684899982737772,3.34632694439471,8.69474478875
"R100941bioone",8.55994469009414,0.069718347339953,3.22767499377402,8.4021691777
"R100054bioone",2.69571896401445,0.0793178213404661,3.2413703777155,8.17284393366667
"R100553bioone",7.00812858526575,0.0767147803633021,2.76969064517131,8.04709639575
