"Isolate","Bio_Replicate","lag_b","mumax_b","log10N0_b","log10Nmax_b","lag_ba","mumax_ba","log10N0_ba","log10Nmax_ba","lag_g","mumax_g","log10N0_g","log10Nmax_g","BIC_b","BIC_g","BIC_ba"
"FSL R10-0531",1,"29.886780133237","0.0793955103515453","2.96534817149657","8.50886768305865","32.9771132334971","0.0844794946751035","2.9165961776099","8.53821042676424","40.0657549863294","0.0987662966196974","2.9262315712095","8.82435210106119","-55.3191276125212","-17.7265252265656","-46.0366130315581"
"FSL R10-1099",1,"17.8579160168036","0.0691728512191588","3.00205294869169","8.5701113705","21.0581853806153","0.0734230755137229","2.95286571735199","8.5863188414294","26.711937870248","0.0849085322654747","2.8813037461231","9.00218980248669","-55.3191276125212","-17.7265252265656","-46.0366130315581"
"FSL R10-1113",1,"18.7164199030159","0.0684899982737772","3.34632694439471","8.69474478875","21.9858130433991","0.0736448801978092","3.2878159469611","8.69507889986629","18.7164199030159","0.0684899982737772","3.34632694439471","8.69474478875","-5.61337260054812","-16.2445507283694","-12.9785825543459"
"FSL R10-0941",1,"8.55994447199196","0.0697183473152302","3.22767498876628","8.4021691777","4.82342503364898","0.0696045218025807","3.11870900502686","8.47407975070402","1.71572046450523","0.0797905881444903","2.77445096114704","8.8984169834448","27.6173561597397","19.3425707906426","25.1216676948215"
"FSL R10-0054",1,"2.69571896401445","0.0793178213404661","3.2413703777155","8.17284393366667","12.1811580181127","0.105257125996082","3.19865291366381","8.09302926887191","9.50140356067492","0.109825251468653","3.02442800263686","8.25725639116682","24.0110174077877","-14.3059287058789","2.33863026511997"
"FSL R10-0151",1,"8.00018748317718","0.0727998113781451","3.23894036512693","7.85654410858342","6.32852037289229","0.0768102597567325","3.11187448684251","7.86140637358","12.6759374732128","0.0933641703628286","3.04200730248924","7.99054639608313","22.8005741551193","25.2366885567511","22.2020123224282"
"FSL R10-0553",1,"7.00812858526575","0.0767147803633021","2.76969064517131","8.04709639575","3.83596755583928","0.0749848511571081","2.68092717201565","8.15252545141466","9.14774123861582","0.091866278286411","2.50596203847273","8.41454547464396","9.82595088271816","-38.753838236968","-3.93813744824295"
"FSL R10-0531",2,"31.7749301951732","0.0776393241141264","2.9518004239209","8.497106535875","36.3418389193686","0.0831162836444669","2.92082022430058","8.52695974260515","43.3557268886208","0.0959328231922545","2.93205119040697","8.86681630231666","-28.4157416652906","-16.664487218292","-39.5750761243751"
"FSL R10-1099",2,"18.6886280114844","0.0656196021581967","3.11608606132623","8.54185197","20.4176064401716","0.0684151967505527","3.05456323660661","8.60258074806677","25.3465899236553","0.0782840335626219","2.96403166005534","9.08599588918932","-28.4157416652906","-16.664487218292","-39.5750761243751"
"FSL R10-1113",2,"19.4058578787176","0.0668422368240791","3.31265116835489","8.716118493875","23.0790471202351","0.0707939325592069","3.27069840586607","8.7532397581383","19.4058578787176","0.0668422368240791","3.31265116835489","8.716118493875","-16.7480596805938","-38.7795297091699","-27.4340691493584"
"FSL R10-0941",2,"4.38321002106095","0.0646145302837206","3.37100689204748","8.4102260658","-5.70824327409296","0.0615853739273563","3.21553636355157","8.5392777953545","-17.6184667785075","0.0722426795368651","2.542029119114","9.06835181444278","29.140941526203","23.0627029916819","23.7248760838142"
"FSL R10-0054",2,"10.270865662556","0.0933177998574163","3.35109955024338","8.09416314121429","11.9874815974357","0.10064036027533","3.27270528054085","8.09776371791513","14.0856806418155","0.113019690333177","3.1946329844944","8.2525358016098","7.72192240681728","-22.996439878937","1.72458227660606"
"FSL R10-0151",2,"11.9983325381239","0.0758757132609603","3.25263735355965","7.8763910837527","10.9709033116361","0.0809753121512151","3.12075747295924","7.87661100604912","15.3828942620328","0.0955932912032015","3.05106116208466","8.02154255687418","14.6853472142361","17.0224743497922","17.081926945492"
