"","Plant","VSLNumber","SampleID","Day_Initial_Actual","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","LOD_CVTA_D7","LOD_CVTA_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"145","Hood-Concord","440","83",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"146","Hood-Concord","440","83-1",2,"NotTested","10","NotTested","10","10","10","NotTested","NotTested","NotTested","NotTested","695","NotTested","OK","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"147","Hood-Concord","440","83-2",2,"NotTested","1000","10","10","NotTested","10","NotTested","1000","NotTested","NotTested","NotTested","NotTested","OK","<","<","<","OK","<","OK","<","OK","OK","OK","OK"
"148","Hood-Portland","433","31",2,"10","4e+06","1000","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","OK","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"149","Hood-Portland","433","32",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","174","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"150","Hood-Portland","433","32-1",2,"10","10","10","10","10","10","205","102","174","NotTested","184","123","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"151","Hood-Portland","433","32-2",2,"10","10","10","215","10","10","92","92","NotTested","NotTested","123","174","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"152","Hood-Portland","433","33",2,"10","NotTested","100","10","10","10","205","NotTested","204","NotTested","368","307","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"153","Hood-Portland","433","33-1",2,"NotTested","NotTested","10000","10","NotTested","10","NotTested","NotTested","10000","NotTested","NotTested","297","OK","OK","<","<","OK","<","OK","OK","<","OK","OK","OK"
"154","Hood-Portland","433","33-2",2,"10","10","10","10","10","10","266","205","215","NotTested","215","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"155","Hood-Portland","433","34",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","225","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"156","Hood-Portland","435","82",2,"10","NotTested","NotTested","1000","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"157","Hood-Portland","435","82-1",2,"10","NotTested","1000","1000","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"158","Hood-Portland","435","82-2",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"159","Hood-Portland","435","83",2,"10","10","10","10","10","10","256","266","1510","4e+05","246","348","<","<","<","<","<","<","OK","OK","OK",">","OK","OK"
"160","Hood-Portland","435","83-1",2,"NotTested","NotTested","1000","NotTested","20","10","NotTested","NotTested","10000","NotTested","133","399","OK","OK","<","OK","OK","<","OK","OK","<","OK","OK","OK"
"161","Hood-Portland","435","83-2",2,"10","10","4e+05","NotTested","10","10","399","225","4e+05","6520","225","358","<","<",">","OK","<","<","OK","OK",">","OK","OK","OK"
"162","Hood-Portland","438","32",2,"10","10","10","10","10","10","92","327","174","NotTested","31","72","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"163","Hood-Portland","438","32-1",2,"10","10","10","10","10","10","31","133","NotTested","NotTested","21","20","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"164","Hood-Portland","438","32-2",2,"10","10","10","10","10","10","21","21","20","NotTested","82","10","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"165","Hood-Portland","438","33",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","61","72","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"166","Hood-Portland","438","33-1",2,"10","10","4e+05","10","10","10","31","21","4e+05","NotTested","72","82","<","<",">","<","<","<","OK","OK",">","OK","OK","OK"
"167","Hood-Portland","438","33-2",2,"NotTested","NotTested","NotTested","NotTested","NotTested","31","NotTested","NotTested","NotTested","NotTested","NotTested","51","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"168","Hood-Portland","440","92",2,"10","10","10","10","10","10","10","NotTested","NotTested","NotTested","20","10","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"169","Hood-Portland","440","92-1",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","72","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"170","Hood-Portland","440","92-2",2,"10","10","10","10","10","10","31","92","NotTested","NotTested","41","51","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"171","Hood-Portland","440","93",2,"10","10","10","10","10","10","72","21","327","NotTested","41","102","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"172","Hood-Portland","440","93-1",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","143","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"173","Hood-Portland","440","93-2",2,"10","4e+05","NotTested","NotTested","10","10","51","4e+05","NotTested","NotTested","51","20","<",">","OK","OK","<","<","OK",">","OK","OK","OK","OK"
"174","Stewart's","435","12",0,"10","10","10","10","10","10","287","NotTested","NotTested","NotTested","300","370","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"175","Stewart's","435","12-1",0,"NotTested","100","100","10","NotTested","10","NotTested","205","NotTested","NotTested","NotTested","NotTested","OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"176","Stewart's","435","13",0,"10","10","10","10","10","10","215","NotTested","266","NotTested","280","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"177","Stewart's","435","13-1",0,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","388","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"178","Stewart's","435","13-2",0,"10","10","10","10","10","10","NotTested","327","NotTested","NotTested","327","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"179","Stewart's","437","82",2,"10","10","10","276","10","10","153","112","72","NotTested","164","133","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"180","Stewart's","437","82-1",2,"82","NotTested","NotTested","NotTested","10","10","236","NotTested","NotTested","NotTested","133","174","OK","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"181","Stewart's","437","83",2,"10","10","10","10","10","10","184","174","133","317","164","184","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"182","Stewart's","437","83-1",2,"10","10","10","10","10","10","164","82","194","123","225","266","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"183","Stewart's","437","83-2",2,"10","10","10","10","10","10","194","123","266","245","92","143","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"184","Stewart's","440","12",0,"10","10","10","10","10","10","123","NotTested","348","NotTested","112","70","<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"185","Stewart's","440","12-1",0,"10","10","10","10","10","10","102","61","NotTested","18400","31","51","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"186","Stewart's","440","13",0,"10","10","10","10","10","10","51","113","NotTested","3120","41","90","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"187","Stewart's","440","13-1",0,"10","10","10","10","10","10","51","82","NotTested","NotTested","31","31","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"188","Stewart's","440","13-2",0,"10","10","10","10","10","10","41","82","NotTested","NotTested","61","51","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"189","Stewart's","442","82",2,"10","10","10","10","10","10","112","194","NotTested","NotTested","41","143","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"190","Stewart's","442","82-1",2,"10","10","10","10","10","10","143","143","72","NotTested","133","154","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"191","Stewart's","442","83",2,"10","4e+05","10","10","10","10","113","4e+05","82","NotTested","92","92","<",">","<","<","<","<","OK",">","OK","OK","OK","OK"
"192","Stewart's","442","83-1",2,"10","10","10","10","10","10","61","31","133","NotTested","82","102","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"193","Upstate Buffalo","434","31",1,"NotTested","NotTested","NotTested","NotTested","51","10","NotTested","NotTested","NotTested","NotTested","113","31","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"194","Upstate Buffalo","434","32",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","31","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"195","Upstate Buffalo","434","32-1",1,"10","10","10","10","10","10","112","205","NotTested","NotTested","NotTested","399","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"196","Upstate Buffalo","434","32-2",1,"NotTested","NotTested","10000","1000","NotTested","10","NotTested","NotTested","10200","NotTested","NotTested","NotTested","OK","OK","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"197","Upstate Buffalo","434","33",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","41","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"198","Upstate Buffalo","434","33-1",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","61","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"199","Upstate Buffalo","434","34",1,"NotTested","NotTested","NotTested","NotTested","51","10","NotTested","NotTested","NotTested","NotTested","113","31","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"200","Upstate Buffalo","436","72",0,"10","10","10","10","10","10","NotTested","994","NotTested","1260000","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"201","Upstate Buffalo","436","72-1",0,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"202","Upstate Buffalo","436","72-2",0,"10","10","10","10","10","10","NotTested","NotTested","11300","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"203","Upstate Buffalo","436","73",0,"20","NotTested","NotTested","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"204","Upstate Buffalo","436","73-1",0,"10","4e+05","10","10","10","10","NotTested","NotTested","NotTested","NotTested","857","NotTested","<",">","<","<","<","<","OK","OK","OK","OK","OK","OK"
"205","Upstate Buffalo","436","73-2",0,"10","10","10","10","10","1","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"206","Upstate Buffalo","439","32",1,"10","10","NotTested","10","10","10","1660","NotTested","4e+08","NotTested","NotTested","NotTested","<","<","OK","<","<","<","OK","OK",">","OK","OK","OK"
"207","Upstate Buffalo","439","32-1",0,"10","82","10","10","10","10","NotTested","1070","NotTested","NotTested","NotTested","NotTested","<","OK","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"208","Upstate Buffalo","439","32-2",0,"10","10","10","NotTested","10","10","NotTested","NotTested","1800","NotTested","NotTested","NotTested","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"209","Upstate Buffalo","439","33",1,"10","10","NotTested","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"210","Upstate Buffalo","439","33-1",0,"NotTested","1000","10","NotTested","NotTested","10","NotTested","1000","NotTested","NotTested","NotTested","NotTested","OK","<","<","OK","OK","<","OK","<","OK","OK","OK","OK"
"211","Upstate Buffalo","439","33-2",0,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"212","Upstate Buffalo","441","92",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","1720","5900","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"213","Upstate Buffalo","441","92-1",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"214","Upstate Buffalo","441","92-2",2,"10","NotTested","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"215","Upstate Buffalo","441","93",2,"10","10","10","4e+05","10","10","10","72","NotTested","4e+05","92","51","<","<","<",">","<","<","OK","OK","OK",">","OK","OK"
"216","Upstate Buffalo","441","93-1",2,"10","10","10","10","10","10","41","92","NotTested","4e+05","10","20","<","<","<","<","<","<","OK","OK","OK",">","<","OK"
"217","Upstate Buffalo","441","93-2",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","10","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"218","Upstate Buffalo","458","31",2,"20","20","20","4e+05","20","20","11","63","NotTested","4e+05","60","20","<","<","<",">","<","<","OK","OK","OK",">","OK","OK"
"219","Upstate Buffalo","458","32",2,"20","4e+05","41","NotTested","20","20","120","NotTested","NotTested","NotTested","10","20","<",">","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"220","Upstate Buffalo","458","33",2,"20","20","20","20","20","20","120","90","NotTested","NotTested","20","60","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"221","Upstate Buffalo","458","34",2,"20","4e+05","200","NotTested","20","20","150","4e+05","NotTested","NotTested","100","80","<",">","<","OK","<","<","OK",">","OK","OK","OK","OK"
"222","Upstate Buffalo","458","34-1",2,"NotTested","NotTested","NotTested","NotTested","NotTested","20","NotTested","NotTested","NotTested","NotTested","NotTested","100","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"223","Upstate Rochester","434","21",0,"NotTested","NotTested","NotTested","100","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","<","OK","<","OK","OK","OK","OK","OK","OK"
"224","Upstate Rochester","434","22",0,"NotTested","NotTested","NotTested","NotTested","4e+05","10","NotTested","NotTested","NotTested","NotTested","4e+05","72","OK","OK","OK","OK",">","OK","OK","OK","OK","OK",">","OK"
"225","Upstate Rochester","434","22-1",0,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"226","Upstate Rochester","434","22-2",0,"10","10","10","10","10","10","92","113","174","NotTested","256","297","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"227","Upstate Rochester","434","23",0,"NotTested","NotTested","NotTested","NotTested","235","10","NotTested","NotTested","NotTested","NotTested","256","31","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"228","Upstate Rochester","434","23-1",0,"10","10","10","10","10","10","82","286","NotTested","NotTested","121","327","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"229","Upstate Rochester","434","23-2",0,"NotTested","NotTested","NotTested","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","112","154","OK","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"230","Upstate Rochester","434","24",0,"10","NotTested","NotTested","NotTested","4e+05","10","NotTested","NotTested","NotTested","NotTested","4e+05","NotTested","<","OK","OK","OK",">","<","OK","OK","OK","OK",">","OK"
"231","Upstate Rochester","436","82",0,"10","10","10","10","10","10","143","NotTested","399","92","51","61","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"232","Upstate Rochester","436","82-1",0,"10","10","10","10","10","10","41","72","112","20","51","20","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"233","Upstate Rochester","436","82-2",0,"10","10","10","10","10","10","41","NotTested","NotTested","NotTested","10","31","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"234","Upstate Rochester","436","83",0,"10","10","10","10","10","10","NotTested","4610","NotTested","NotTested","163","133","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"235","Upstate Rochester","436","83-1",0,"10","10","10","10","10","1","102","112","NotTested","NotTested","113","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"236","Upstate Rochester","436","83-2",0,"10","113","NotTested","NotTested","10","10","92","235","NotTested","NotTested","123","123","<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"237","Upstate Rochester","439","22",1,"10","10","10","10","10","10","82","NotTested","NotTested","NotTested","72","61","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"238","Upstate Rochester","439","22-1",0,"10","10","10","10","10","10","31","286","NotTested","NotTested","62","10","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"239","Upstate Rochester","439","22-2",0,"10","10","4e+05","10","10","10","164","NotTested","4e+05","NotTested","92","123","<","<",">","<","<","<","OK","OK",">","OK","OK","OK"
"240","Upstate Rochester","439","23",1,"10","10","10","10","10","10","20","20","NotTested","31","41","10","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"241","Upstate Rochester","439","23-1",0,"10","10","10","10","10","10","21","10","51","NotTested","21","20","<","<","<","<","<","<","OK","<","OK","OK","OK","OK"
"242","Upstate Rochester","439","23-2",0,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","368","21","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"243","Upstate Rochester","441","82",2,"10","10","10","10","10","10","266","NotTested","NotTested","NotTested","20","10","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"244","Upstate Rochester","441","82-1",2,"10","10","10","10","10","10","31","41","4e+05","NotTested","31","10","<","<","<","<","<","<","OK","OK",">","OK","OK","<"
"245","Upstate Rochester","441","82-2",2,"10","4e+05","NotTested","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","133","10","<",">","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"246","Upstate Rochester","441","83",2,"10","NotTested","10","10","10","10","61","4750","NotTested","NotTested","21","31","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"247","Upstate Rochester","441","83-1",2,"10","10","10","10","10","10","72","41","72","572","51","51","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"248","Upstate Rochester","441","83-2",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","41","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"249","Upstate Rochester","458","21",2,"20","20","100","20","20","20","95","NotTested","NotTested","NotTested","40","110","<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"250","Upstate Rochester","458","22",2,"20","20","20","200","20","20","200","NotTested","NotTested","NotTested","90","80","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"251","Upstate Rochester","458","22-1",2,"20","20","2200","20000","20","20","NotTested","NotTested","NotTested","NotTested","NotTested","130","<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"252","Upstate Rochester","458","23",2,"63","NotTested","20","20","20","20","180","NotTested","NotTested","NotTested","70","90","OK","OK","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"253","Upstate Rochester","458","23-1",2,"20","170","20","20","20","20","170","190","NotTested","NotTested","200","200","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"254","Upstate Rochester","458","23-2",2,"20","20","200","41","20","20","1100","240","NotTested","4e+05","110","120","<","<","OK","OK","<","<","OK","OK","OK",">","OK","OK"
"255","Upstate Rochester","458","24",2,"63","NotTested","200","NotTested","20","20","200","NotTested","NotTested","NotTested","140","10","OK","OK","<","OK","<","<","OK","OK","OK","OK","OK","OK"
