FSL,Genus,Species,project,sample ident,sampleid num,Isolate Source Very Specific,rpoB allelic type
FSL F4-0196,Paenibacillus,sp.,Pasteurized fluid milk spoilage,3B-31,21858,pasteurized 2% fat milk,15
FSL F4-0216,Paenibacillus,sp.,Pasteurized fluid milk spoilage,3B-32,21885,pasteurized 2% fat milk,15
FSL P2-0471,Paenibacillus,odorifer,Watters Project,4-099A,47887,Laboratory Heat Treated Raw Milk,15
FSL P2-0515,Paenibacillus,odorifer,Watters Project,4-103,47891,Laboratory Heat Treated Raw Milk,15
FSL P4-0019,Paenibacillus,odorifer,Watters Project,4-113,48275,Laboratory Heat Treated Raw Milk,15
FSL P4-0022,Paenibacillus,odorifer,Watters Project,4-115,48277,Laboratory Heat Treated Raw Milk,15
FSL P4-0192,Paenibacillus,odorifer,Watters Project,4-117,48282,Laboratory Heat Treated Raw Milk,15
FSL P4-0194,Paenibacillus,odorifer,Watters Project,4-118,48283,Laboratory Heat Treated Raw Milk,15
FSL P4-0434,Paenibacillus,odorifer,Watters Project,4-130,48708,Laboratory Heat Treated Raw Milk,15
FSL P4-0342,Paenibacillus,odorifer,Watters Project,4-131,48711,Laboratory Heat Treated Raw Milk,15
FSL P4-0384,Paenibacillus,odorifer,Watters Project,4-134,48714,Laboratory Heat Treated Raw Milk,15
FSL E2-0183,Paenibacillus,odorifer,VSL Spoilage Characterization,418-15,70735,pasteurized fat-free chocolate milk,15
FSL E2-0188,Paenibacillus,odorifer,VSL Spoilage Characterization,418-25,70736,pasteurized fat-free chocolate milk,15
FSL E2-0193,Paenibacillus,odorifer,VSL Spoilage Characterization,418-55,70737,pasteurized fat-free chocolate milk,15
FSL E2-0219,Paenibacillus,odorifer,VSL Spoilage Characterization,419-22-3,70748,pasteurized 2% fat milk,15
FSL E2-0262,Paenibacillus,odorifer,VSL Spoilage Characterization,421-32-1,70765,pasteurized 2% fat milk,15
FSL E2-0280,Paenibacillus,odorifer,VSL Spoilage Characterization,422-35,70774,pasteurized 1% fat chocolate milk,15
FSL H7-0958,Paenibacillus,sp.,Fluid Milk Shelf Life,48 - D 12,28871,Raw milk,15
FSL H8-0140,Paenibacillus,sp.,Fluid Milk Shelf Life,48 - D 16,28936,Raw milk,15
FSL H8-0222,Paenibacillus,sp.,Fluid Milk Shelf Life,48 - D 21,28966,Raw milk,15
FSL F4-0249,Paenibacillus,sp.,Pasteurized fluid milk spoilage,4B-32,21953,pasteurized 2% fat milk,15
FSL H8-0229,Paenibacillus,sp.,Fluid Milk Shelf Life,51 - D 21,28969,Pasteurized 2% milk,15
FSL H8-0160,Paenibacillus,sp.,Fluid Milk Shelf Life,56 - D 16,28944,Pasteurized 2% milk,15
FSL H7-0984,Paenibacillus,sp.,Fluid Milk Shelf Life,58 - D 12,28881,Pasteurized 2% milk,15
FSL H8-0162,Paenibacillus,sp.,Fluid Milk Shelf Life,58 - D 16,28946,Pasteurized 2% milk,15
FSL H8-0237,Paenibacillus,odorifer,Fluid Milk Shelf Life,58 - D 21,28976,Pasteurized 2% milk,15
FSL H8-0058,Paenibacillus,sp.,Fluid Milk Shelf Life,59 - D 12,28908,Raw milk,15
FSL H8-0238,Paenibacillus,sp.,Fluid Milk Shelf Life,59 - D 18,28977,Raw milk,15
FSL H7-0987,Paenibacillus,sp.,Fluid Milk Shelf Life,59 - D 9,28882,Raw milk,15
FSL H8-0061,Paenibacillus,sp.,Fluid Milk Shelf Life,60 - D 12,28909,Raw milk,15
FSL H8-0241,Paenibacillus,sp.,Fluid Milk Shelf Life,60 - D 18,28978,Raw milk,15
FSL H7-0989,Paenibacillus,sp.,Fluid Milk Shelf Life,60 - D 9,28883,Raw milk,15
FSL H8-0062,Paenibacillus,sp.,Fluid Milk Shelf Life,61 - D 12,28910,Raw milk,15
FSL H8-0242,Paenibacillus,sp.,Fluid Milk Shelf Life,61 - D 18,28979,Raw milk,15
FSL H7-0994,Paenibacillus,sp.,Fluid Milk Shelf Life,62 - D 9,28885,Pasteurized 2% milk,15
FSL H8-0070,Paenibacillus,sp.,Fluid Milk Shelf Life,63 - D 12,28912,Pasteurized 2% milk,15
FSL H8-0247,Paenibacillus,sp.,Fluid Milk Shelf Life,63 - D 18,28981,Pasteurized 2% milk,15
FSL H8-0087,Paenibacillus,sp.,Fluid Milk Shelf Life,69 - D 12,28918,Pasteurized 2% milk,15
FSL H8-0528,Paenibacillus,sp.,Fluid Milk Shelf Life,7-D14,32859,Manure,15
FSL H8-0272,Paenibacillus,sp.,Fluid Milk Shelf Life,70 - D 12,28991,Raw milk,15
FSL H8-0311,Paenibacillus,sp.,Fluid Milk Shelf Life,70 - D 18,29003,Raw milk,15
FSL H8-0166,Paenibacillus,sp.,Fluid Milk Shelf Life,70 - D 9,28947,Raw milk,15
FSL H8-0276,Paenibacillus,sp.,Fluid Milk Shelf Life,71 - D 12,28992,Raw milk,15
FSL H8-0313,Paenibacillus,sp.,Fluid Milk Shelf Life,71 - D 18,29004,Raw milk,15
FSL H8-0286,Paenibacillus,sp.,Fluid Milk Shelf Life,75 - D 12,28996,Pasteurized 2% milk,15
FSL M7-0353,Paenibacillus,odorifer,Sporeformer - Longitudinal,A3,52521,Laboratory Heat Treated Raw Milk,15
FSL M7-1473,Paenibacillus,odorifer,Sporeformer - Longitudinal,C1,66096,Laboratory Heat Treated Raw Milk,15
FSL M7-0105,Paenibacillus,odorifer,Sporeformer - Longitudinal,C2,52513,Laboratory Heat Treated Raw Milk,15
FSL M7-1474,Paenibacillus,odorifer,Sporeformer - Longitudinal,D1,66093,Laboratory Heat Treated Raw Milk,15
FSL M7-0204,Paenibacillus,odorifer,Sporeformer - Longitudinal,D3,52523,Laboratory Heat Treated Raw Milk,15
FSL M7-0327,Paenibacillus,odorifer,Sporeformer - Longitudinal,F2*,52525,Laboratory Heat Treated Raw Milk,15
FSL M7-1508,Paenibacillus,odorifer,Sporeformer - Longitudinal,F2*,66024,Laboratory Heat Treated Raw Milk,15
FSL M7-0384,Paenibacillus,odorifer,Sporeformer - Longitudinal,G3,52520,Laboratory Heat Treated Raw Milk,15
FSL H3-0450,Paenibacillus,sp.,Fluid Milk Shelf Life,Lab#05-202,27372,Raw milk,15
FSL H3-0471,Paenibacillus,sp.,Fluid Milk Shelf Life,Lab#05-206,27376,Raw milk,15
FSL H3-0473,Paenibacillus,sp.,Fluid Milk Shelf Life,Lab#05-210,27367,Pasteurized skim milk,15
FSL H3-0273,Paenibacillus,sp.,Fluid Milk Shelf Life,Lab#05-27,25682,Raw milk,15
FSL H3-0312,Paenibacillus,sp.,Fluid Milk Shelf Life,Lab#05-28,25683,Raw milk,15
FSL H3-0275,Paenibacillus,sp.,Fluid Milk Shelf Life,Lab#05-29,25684,Raw milk,15
