FSL,Genus,Species,project,sample ident,sampleid num,Isolate Source Very Specific,rpoB allelic type
FSL R7-0131,Paenibacillus,cf. peoriae,HTST pastuerization temperatures, ,36807,heat treated 2% fat milk,179
FSL R7-0192,Paenibacillus,sp.,HTST pastuerization temperatures, ,36808,heat treated 2% fat milk,179
FSL R7-0325,Paenibacillus,sp.,HTST pastuerization temperatures, ,36809,heat treated 2% fat milk,179
FSL R7-0328,Paenibacillus,sp.,HTST pastuerization temperatures, ,36810,heat treated 2% fat milk,179
FSL R7-0329,Paenibacillus,sp.,HTST pastuerization temperatures, ,36811,heat treated 2% fat milk,179
FSL P2-0368,Paenibacillus,cf. peoriae,Watters Project,1-018,47872,Laboratory Heat Treated Raw Milk,179
FSL P2-0421,Paenibacillus,cf. peoriae,Watters Project,1-020,47881,Laboratory Heat Treated Raw Milk,179
FSL W7-1041,Paenibacillus,cf. peoriae,Watters Project,1-021,48266,Laboratory Heat Treated Raw Milk,179
FSL P4-0049,Paenibacillus,cf. peoriae,Watters Project,1-025,48278,Laboratory Heat Treated Raw Milk,179
FSL P2-0060,Paenibacillus,cf. peoriae,Watters Project,2-033,45699,Laboratory Heat Treated Raw Milk,179
FSL W7-1052,Paenibacillus,cf. peoriae,Watters Project,2-046,48264,Laboratory Heat Treated Raw Milk,179
FSL P4-0418,Paenibacillus,cf. peoriae,Watters Project,2-051,48727,Laboratory Heat Treated Raw Milk,179
FSL P4-0222,Paenibacillus,cf. peoriae,Watters Project,3-067,48286,Laboratory Heat Treated Raw Milk,179
FSL P2-0547,Paenibacillus,cf. peoriae,Watters Project,4-105,47893,Laboratory Heat Treated Raw Milk,179
FSL P4-0017,Paenibacillus,cf. peoriae,Watters Project,4-113,48275,Laboratory Heat Treated Raw Milk,179
FSL P4-0212,Paenibacillus,cf. peoriae,Watters Project,4-126,48295,Laboratory Heat Treated Raw Milk,179
FSL E2-0172,Paenibacillus,cf. peoriae,VSL Spoilage Characterization,418-22,70730,pasteurized 2% fat milk,179
FSL E2-0194,Paenibacillus,cf. peoriae,VSL Spoilage Characterization,419-32-4,70738,pasteurized 2% fat milk,179
FSL M7-1347,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,B2*,66081,Laboratory Heat Treated Raw Milk,179
FSL K6-0130,Unknown,unknown,Powder Farm,B3-1,60679,Laboratory Heat Treated Raw Milk,179
FSL K6-0178,Unknown,unknown,Powder Farm,B8-2,60612,Laboratory Heat Treated Raw Milk,179
FSL M7-1400,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C1,66096,Laboratory Heat Treated Raw Milk,179
FSL M7-1123,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C10,66044,Laboratory Heat Treated Raw Milk,179
FSL M7-0102,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C2,52513,Laboratory Heat Treated Raw Milk,179
