"","scenario","Bactofuge","PPCFreq","Temp","day","per_exceed1000","per_exceed5mill","per_exceed1mill","per_exceed10mill","per_exceed20mill","per_exceed30mill","per_exceed40mill","per_exceed20000","n_exceed1000","n_exceed5mill","n_exceed1mill","n_exceed10mill","n_exceed20mill","n_exceed30mill","n_exceed40mill","n_exceed20000","n_total"
"1","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"2","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"3","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"4","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","4",0.4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1000
"5","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","5",0.8,0,0,0,0,0,0,0.4,8,0,0,0,0,0,0,4,1000
"6","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","6",1.2,0,0.2,0,0,0,0,0.8,12,0,2,0,0,0,0,8,1000
"7","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","7",2,0.3,0.5,0.2,0.2,0.1,0.2,1.1,20,3,5,2,2,1,0,11,1000
"8","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","8",2.8,0.3,0.6,0.3,0.3,0.1,0.3,1.4,28,3,6,3,3,1,1,14,1000
"9","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","9",3.9,0.4,0.8,0.4,0.4,0.1,0.4,2.3,39,4,8,4,4,1,1,23,1000
"10","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","10",5.9,0.5,0.9,0.5,0.5,0.1,0.5,3,59,5,9,5,5,1,1,30,1000
"11","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","11",7.4,0.6,1.4,0.5,0.5,0.2,0.5,4.1,74,6,14,5,5,2,2,41,1000
"12","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","12",9,0.7,1.7,0.7,0.6,0.3,0.6,5,90,7,17,7,6,3,3,50,1000
"13","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","13",10.2,0.9,2,0.9,0.8,0.4,0.8,7,102,9,20,9,8,4,4,70,1000
