"","Plant_VSLNumber_SampleID","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI"
"237","Upstate Rochester_439_22",1,1,1,1,1,1,1.91381385238372,NA,NA,NA,1.85733249643127,1.78532983501077
"238","Upstate Rochester_439_22-1",1,1,1,1,1,1,1.49136169383427,2.45636603312904,NA,NA,1.79239168949825,1
"239","Upstate Rochester_439_22-2",1,1,5.60205999132796,1,1,1,2.2148438480477,NA,5.60205999132796,NA,1.96378782734556,2.0899051114394
"240","Upstate Rochester_439_23",1,1,1,1,1,1,1.30102999566398,1.30102999566398,NA,1.49136169383427,1.61278385671974,1
"241","Upstate Rochester_439_23-1",1,1,1,1,1,1,1.32221929473392,1,1.70757017609794,NA,1.32221929473392,1.30102999566398
"242","Upstate Rochester_439_23-2",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2.56584781867352,1.32221929473392
"243","Upstate Rochester_441_82",1,1,1,1,1,1,2.42488163663107,NA,NA,NA,1.30102999566398,1
"244","Upstate Rochester_441_82-1",1,1,1,1,1,1,1.49136169383427,1.61278385671974,5.60205999132796,NA,1.49136169383427,1
"245","Upstate Rochester_441_82-2",1,5.60205999132796,NA,NA,1,1,NA,NA,NA,NA,2.12385164096709,1
"246","Upstate Rochester_441_83",1,NA,1,1,1,1,1.78532983501077,3.67669360962487,NA,NA,1.32221929473392,1.49136169383427
"247","Upstate Rochester_441_83-1",1,1,1,1,1,1,1.85733249643127,1.61278385671974,1.85733249643127,2.75739602879302,1.70757017609794,1.70757017609794
"248","Upstate Rochester_441_83-2",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.61278385671974
"249","Upstate Rochester_458_21",1.30102999566398,1.30102999566398,2,1.30102999566398,1.30102999566398,1.30102999566398,1.97772360528885,NA,NA,NA,1.60205999132796,2.04139268515822
"250","Upstate Rochester_458_22",1.30102999566398,1.30102999566398,1.30102999566398,2.30102999566398,1.30102999566398,1.30102999566398,2.30102999566398,NA,NA,NA,1.95424250943932,1.90308998699194
"251","Upstate Rochester_458_22-1",1.30102999566398,1.30102999566398,3.34242268082221,4.30102999566398,1.30102999566398,1.30102999566398,NA,NA,NA,NA,NA,2.11394335230684
"252","Upstate Rochester_458_23",1.79934054945358,NA,1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,2.25527250510331,NA,NA,NA,1.84509804001426,1.95424250943932
"253","Upstate Rochester_458_23-1",1.30102999566398,2.23044892137827,1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,2.23044892137827,2.27875360095283,NA,NA,2.30102999566398,2.30102999566398
"254","Upstate Rochester_458_23-2",1.30102999566398,1.30102999566398,2.30102999566398,1.61278385671974,1.30102999566398,1.30102999566398,3.04139268515822,2.38021124171161,NA,5.60205999132796,2.04139268515822,2.07918124604762
"255","Upstate Rochester_458_24",1.79934054945358,NA,2.30102999566398,NA,1.30102999566398,1.30102999566398,2.30102999566398,NA,NA,NA,2.14612803567824,1
