"Isolate","buch_lag","buch_mu","buch_N0","buch_NMax","gomp_lag","gomp_mu","gomp_N0","gomp_NMax","bar_lag","bar_mu","bar_N0","bar_NMax"
"FSL R10-0056","21.6699037078799","0.106578436765949","3.63032601519221","8.39542780177778","-1279.68430441532","-13.8832325794516","4.28354721588045","8.39533894517143","56.8580156044717","0.472659988417837","3.85909794477531","8.13073309622768"
"FSL R10-0084","-17885984.2930261","0.0829124359257493","-569914.421051633","8.01537782112622","-0.692338933845245","0.106168450360938","3.25805542664368","8.14624785412417","-1.35063626455965","0.0891427829103631","3.52817176232105","7.96269503236172"
"FSL R10-0701 ","-7048204.57658088","0.0956119084368365","-261082.904166439","8.2843129720747","12.9819288329021","0.140972983072236","3.4836406088919","8.37500554098535","8.36574559571637","0.119632725980183","3.49379768026729","8.25776469106572"
"FSL R10-0908","49.0757940666717","0.181765015639187","3.628006591","7.82438789670833","259.459291105991","0.0718296350913362","6.22885987406095","6.7388437227585","59.0050231049049","0.439947121767661","3.62903010327021","7.68206834052132"
"FSL R10-0990","22.5857963802902","0.0760952685886115","3.11250918095171","7.38677472583333","24.6103161711854","0.0831724450616243","3.01108964570397","7.7365223539859","25.5059407736364","0.0799853856552574","3.06905205827588","7.43990586273672"
"FSL R10-1181","6.07906659981523","0.0686014966033243","3.26621992905348","8.072348537","-13.1516296463704","0.0763995286212808","2.48944227097373","9.04223136914983","2.9728580798989","0.0692694461595408","3.16266165972178","8.22560331795245"
"FSL R10-1344","5.91451224169232","0.106979685370869","2.90521332638891","8.59660004145833","12.5593046462002","0.132998318853494","2.7765382609238","8.89125769828886","8.37220034504054","0.113967305785402","2.86666012210682","8.59722412677225"
"FSL R10-1432","-59931652.7394053","0.0949384503621294","-2013131.6666039","8.01084040948992","7.12560410816963","0.14391016203789","3.23297915162568","8.02476352238091","6.59326097126583","0.130436139292245","3.34473818473629","7.88269889070259"
"FSL R10-2381","14.3899118676831","0.0776113495191869","3.29781565558243","7.12574396695455","22.6010787199726","0.0981834440964757","3.26722046827572","7.27174515658652","19.4567995514797","0.0887877417195348","3.25049889073937","7.12674985826158"
"FSL R10-3286","6.07887115665367","0.0965735916357702","3.29227353758759","8.59578839094118","-1.66425690119082","0.109838571924243","2.73217492274602","8.91384764014048","3.72630735277242","0.0978924438234248","3.1731224628558","8.6157168612496"
