ID,milkType,size,container,projectNumber,plantID,dateProcessed,dateInitial,DIgreaterthanlessthan,DIdatavalue,DIcountability,D7greaterthanlessthan,D7datavalue,D7countability,D10greaterthanlessthan,D10datavalue,D10countability,D14greaterthanlessthan,D14datavalue,D14countability
4275,Skim,qt,Glass,447,36-5673,11/1/2016,11/2/2016,,2.50,E,,72,E,,5300,,,990000,
4281,Creamline,½ Gal,Plastic,447,36-1132,10/25/2016,10/27/2016,,2.50,E,,400000,E,,60000000,,,67000000,
4282,Skim,½ Gal,Plastic,447,36-1132,10/26/2016,10/27/2016,,2.50,E,,110000,,,44000000,,,620000000,
4289,2%,½ Pint,Paper,448,36-1880,1/9/2017,1/12/2017,,5.00,E,,3200,,,400000,E,,400000,E
4294,Homogenized,qt,Plastic,448,36-4739,1/9/2017,1/12/2017,,5.00,E,,11000,,,400000,E,,400000,E
4314,Skim,Gal,Plastic,448,23-03,1/9/2017,1/12/2017,,5.00,E,,330,E,,9500,,,400000,E
4316,Skim,qt,Plastic,448,23-03,1/9/2017,1/12/2017,,5.00,E,,5400,,,400000,E,,400000,E
4325,Homogenized,½ Gal,Plastic,448,36-5385,1/7/2017,1/12/2017,,82.00,E,,,,,400000,E,,400000,E
4326,2%,½ Gal,Plastic,448,36-5385,1/7/2017,1/12/2017,,2.50,E,,,,,400000,E,,400000,E
4332,1%,½ Gal,Plastic,449,36-8185,2/6/2017,2/9/2017,,5.00,E,,4300,,,7400000,,,1900000,
4334,2%,qt,Plastic,449,36-8185,2/6/2017,2/9/2017,,5.00,E,,2800,,,18000000,,,46000000,
4336,Skim,Gal,Plastic,449,36-8185,2/6/2017,2/9/2017,,5.00,E,,400000,E,,47000000,,,12000000,
4337,Skim,qt,Plastic,449,36-8185,2/6/2017,2/9/2017,,5.00,E,,67000,,,12000000,,,7000000,
4347,Skim,qt,Plastic,449,36-1661,2/7/2017,2/9/2017,,5.00,E,,20,E,,10000,,,530000,
4349,Creamline,½ Gal,Plastic,449,36-8430,2/7/2017,2/9/2017,,5.00,E,,400000,E,,50000000,,,82000000,
4350,Skim Creamline,½ Gal,Plastic,449,36-8430,2/7/2017,2/9/2017,,5.00,E,,140000,,,42000000,,,1100000000,
4354,2%,½ Gal,Paper,449,36-3108,2/8/2017,2/9/2017,,5.00,E,,62000,,,5700000,,,1100000000,
4372,Skim,Gal,Plastic,450,33-08,3/13/2017,3/16/2017,,5.00,E,,760,,,2200000,,,26000000,
4390,Creamline,½ Gal,Plastic,450,36-1252,3/8/2017,3/16/2017,,270.00,E,,,,,,,,23000000,
4435,Homogenized,½ Gal,Plastic,451,36-2107,4/9/2017,4/13/2017,,370.00,E,,5100000,,,43000000,,,280000000,
4438,1%,½ Gal,Plastic,451,36-2107,4/9/2017,4/13/2017,,5.00,E,,280000,,,19000000,,,300000000,
4439,2%,qt,Plastic,451,36-2107,4/9/2017,4/13/2017,,5.00,E,,7400,,,1200000,,,34000000,
4440,2%,qt,Paper,451,36-2107,4/10/2017,4/13/2017,,5.00,E,,290,E,,37000,,,3000000,
4441,Skim,qt,Plastic,451,36-2107,4/9/2017,4/13/2017,,5.00,E,,3500,,,68000,,,2000,E
4442,Skim,½ Gal,Plastic,451,36-2107,4/10/2017,4/13/2017,,550.00,,,10000000,,,320000000,,,170000000,
4444,Creamline,½ Gal,Plastic,451,36-1255,4/10/2017,4/13/2017,,5.00,E,,71000,,,23000000,,,1700000,
4445,Skim Creamline,½ Gal,Plastic,451,36-1255,4/10/2017,4/13/2017,,5.00,E,,44000,,,13000000,,,58000000,
4446,1%,½ Gal,Plastic,451,36-1255,4/10/2017,4/13/2017,,5.00,E,,190000,,,4100000,,,120000000,
4448,Skim Creamline,12 oz,Plastic,451,36-1255,4/10/2017,4/13/2017,,5.00,E,,400000,E,,26000000,,,33000000,
4449,Skim Creamline,qt,Glass,451,36-1255,4/10/2017,4/13/2017,,5.00,E,,400000,E,,22000000,,,290000000,
4450,1%,12 oz,Plastic,451,36-1255,4/10/2017,4/13/2017,,5.00,E,,400000,E,,93000000,,,430000,
4451,1%,qt,Glass,451,36-1255,4/10/2017,4/13/2017,,5.00,E,,86000,,,75000000,,,150000000,
4457,Creamline,½ Gal,Plastic,451,36-1132,4/12/2017,4/13/2017,,5.00,E,,400000,E,,140000000,,,510000000,
4459,Homogenized,½ Gal,Plastic,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,6800,,,16000000,,,340000000,
4460,2%,½ Gal,Plastic,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,400000,E,,66000000,,,760000000,
4461,Skim,½ Gal,Plastic,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,3300,,,400000,E,,3500000,
4465,2%,Gal,Plastic,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,61,E,,5100,,,14000000,
4466,2%,Gal,Plastic,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,430,,,400000,E,,270000,E
4468,2%,½ Gal,Glass,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,720000,,,40000000,,,340000000,
4470,Skim,½ Gal,Glass,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,400000,E,,50000000,,,430000000,
4472,1%,Gal,Plastic,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,1800,,,3400000,,,33000000,
4473,1%,Gal,Plastic,452,36-3661,5/15/2017,5/18/2017,,5.00,E,,210000,,,41000000,,,440000000,
4482,Homogenized,Gal,Plastic,452,25-08,5/16/2017,5/18/2017,,5.00,E,,2600,,,7200000,,,61000000,
4490,Skim,½ Gal,Plastic,452,36-1007,5/15/2017,5/18/2017,,5.00,E,,100,E,,400000,,,1200000,
4494,2%,qt,Glass,452,36-5673,5/15/2017,5/18/2017,,5.00,E,,86000,,,70000000,,,220000000,
4495,Skim,qt,Glass,452,36-5673,5/15/2017,5/18/2017,,5.00,E,,34000,,,45000000,,,620000000,
4499,2%,½ Gal,Paper,452,36-2151,5/15/2017,5/19/2017,,5.00,E,,20,E,,32000,,,4400000,
4503,Homogenized,pt,Plastic,452,36-2151,5/15/2017,5/19/2017,,5.00,E,,270,E,,590000,,,450000000,
4504,2%,½ Pint,Paper,452,36-2151,5/15/2017,5/19/2017,,5.00,E,,5300,,,8500000,,,240000000,
4506,1%,½ Pint,Paper,452,36-2151,5/15/2017,5/19/2017,,5.00,E,,200,E,,400000,E,,78000000,
4508,Homogenized,½ Gal,Plastic,453,36-1880,7/10/2017,7/13/2017,,5.00,E,,100,E,,120000,,,35000000,
4523,Homogenized,½ Gal,Paper,453,36-3108,7/12/2017,7/13/2017,,41.00,E,,400000,E,,28000000,,,140000000,
4524,2%,½ Gal,Paper,453,36-3108,7/12/2017,7/13/2017,,5.00,E,,33000,,,11000000,,,160000000,
4525,Skim,½ Gal,Paper,453,36-3108,7/12/2017,7/13/2017,,5.00,E,,400000,E,,36000000,,,220000000,
4529,Skim Creamline,½ Gal,Plastic,453,36-1255,7/10/2017,7/13/2017,,5.00,E,,3600,,,400000,E,,14000000,
4530,1%,½ Gal,Plastic,453,36-1255,7/10/2017,7/13/2017,,5.00,E,,35000,,,14000000,,,19000000,
4532,Skim Creamline,12 oz,Plastic,453,36-1255,7/10/2017,7/13/2017,,5.00,E,,16000,,,9300000,,,670000,
4533,1%,12 oz,Plastic,453,36-1255,7/10/2017,7/13/2017,,5.00,E,,27000,,,22000000,,,3900000,
4537,Skim,½ Gal,Plastic,453,36-1348,7/10/2017,7/13/2017,,5.00,E,,500,,,400000,E,,2900000,
4539,Homogenized,Gal,Glass,453,36-1348,7/10/2017,7/13/2017,,5.00,E,,40,E,,110000,,,4000000,E
4541,Creamline,½ Gal,Plastic,454,36-1288,8/7/2017,8/10/2017,,5.00,E,,51,E,,2500,,,690000,
4552,2%,Gal,Plastic,454,36-8185,8/7/2017,8/10/2017,,5.00,E,,20,E,,12000,,,470000,
4554,Skim,Gal,Plastic,454,36-8185,8/7/2017,8/11/2017,,5.00,E,,3100,,,890000,,,100000000,
4560,2%,Gal,Plastic,454,36-4739,8/7/2017,8/10/2017,,5.00,E,,20,E,,2300,,,400000,E
4562,2%,½ Pint,Paper,454,36-4739,8/7/2017,8/10/2017,,5.00,E,,,,,400000,E,,28000000,
4568,2%,½ Gal,Plastic,455,25-08,8/29/2017,8/31/2017,,5.00,E,,60,E,,6800,,,170000,
4573,Homogenized,14 oz.,Plastic,455,25-08,8/29/2017,8/31/2017,,5.00,E,,11000,,,3800000,,,33000000,
4575,2%,½ Pint,Paper,455,25-08,8/29/2017,8/31/2017,,5.00,E,,1100,,,950000,,,400000000,E
4576,Skim,½ Pint,Paper,455,25-08,8/29/2017,8/31/2017,,5.00,E,,20,E,,2900,,,9900000,
4577,Skim,14 oz.,Plastic,455,25-08,8/29/2017,8/31/2017,,5.00,E,,8900,,,350000,,,38000000,
4578,1%,½ Pint,Paper,455,25-08,8/29/2017,8/31/2017,,5.00,E,,11000,,,1400,,,40000000,
4595,Homogenized,½ Gal,Plastic,455,36-1007,9/5/2017,9/7/2017,,5.00,E,,57000,,,14000000,,,79000000,
4599,2%,qt,Glass,455,36-1007,9/4/2017,9/7/2017,,5.00,E,,100,E,,400000,E,,8600000,
4600,Skim,qt,Glass,455,36-1007,9/4/2017,9/7/2017,,5.00,E,,290,E,,400000,E,,10000000,
4604,Skim,½ Gal,Plastic,456,33-08,9/25/2017,9/28/2017,,5.00,E,,180,E,,80000,,,13000000,
4623,2%,½ Gal,Plastic,456,36-1661,9/25/2017,9/28/2017,,5.00,E,,2100,,,2400000,,,26000000,
4626,2%,Gal,Plastic,456,36-1661,9/25/2017,9/28/2017,,5.00,E,,150000,,,40000000,,,390000000,
4627,2%,qt,Plastic,456,36-1661,9/25/2017,9/28/2017,,5.00,E,,400000,E,,72000000,,,390000000,
4629,Creamline,½ Gal,Plastic,456,36-1132,9/22/2017,9/28/2017,,5.00,E,,,,,400000,E,,51000000,
4631,Homogenized,qt,Glass,456,36-5673,9/28/2017,9/28/2017,,5.00,E,,39000,,,48000000,,,270000000,
4632,2%,qt,Glass,456,36-5673,9/28/2017,9/28/2017,,5.00,E,,2700,,,3200,E,,35000000,
4635,Skim,qt,Glass,456,36-5673,9/28/2017,9/28/2017,,5.00,E,,400000,E,,54000000,,,120000000,
4638,Skim,½ Gal,Paper,457,36-2151,10/23/2017,10/26/2017,,5.00,E,,41,E,,1000,,,1200000,
4641,Homogenized,pt,Plastic,457,36-2151,10/23/2017,10/26/2017,,5.00,E,,31000,,,24000000,,,71000000,
4643,2%,½ Gal,Paper,457,36-2151,10/23/2017,10/26/2017,,5.00,E,,20,E,,12000,,,7800000,
4644,2%,qt,Paper,457,36-2151,10/23/2017,10/26/2017,,5.00,E,,20,E,,26000,,,12000000,
4645,Skim,½ Pint,Paper,457,36-2151,10/23/2017,10/26/2017,,5.00,E,,920,,,11000000,,,59000000,
4651,2%,½ Pint,Paper,457,36-3661,10/23/2017,10/26/2017,,5.00,E,,20,E,,2100,,,990000,
4652,2%,Gal,Plastic,457,36-3661,10/23/2017,10/26/2017,,5.00,E,,400000,E,,29000000,,,140000000,
4653,2%,½ Gal,Glass,457,36-3661,10/23/2017,10/26/2017,,5.00,E,,20,E,,400000000,E,,3100000000,
4659,Homogenized,½ Gal,Plastic,457,36-5385,10/21/2017,10/26/2017,,5.00,E,,,,,400000,E,,37000,
4660,2%,½ Gal,Plastic,457,36-5385,10/21/2017,10/26/2017,,82.00,E,,,,,400000,E,,19000000,
4661,Skim,½ Gal,Plastic,457,36-5385,10/21/2017,10/26/2017,,61.00,E,,,,,400000,E,,1700000,
4662,Homogenized,½ Gal,Plastic,457,36-2985,10/23/2017,10/26/2017,,5.00,E,,6900,,,40000000,E,,64000000,
4663,2%,½ Gal,Plastic,457,36-2985,10/23/2017,10/26/2017,,5.00,E,,400000,E,,70000000,,,97000000,
4665,1%,½ Gal,Plastic,457,36-2985,10/23/2017,10/26/2017,,5.00,E,,400000,E,,46000000,,,110000000,
4667,2%,½ Pint,Paper,457,36-2985,10/23/2017,10/26/2017,,85.00,,,14000000,,,41000000,,,330000000,
4668,Skim,½ Pint,Paper,457,36-2985,10/23/2017,10/26/2017,,3300.00,,,14000000,,,90000000,,,220000000,
4675,2%,½ Gal,Plastic,458,36-8185,1/15/2018,1/16/2018,,5.00,E,,19000,,,40000000,E,,59000000,
4678,2%,Gal,Plastic,458,36-8185,1/15/2018,1/16/2018,,5.00,E,,36000,,,40000000,E,,95000000,
4681,Skim,Gal,Plastic,458,36-8185,1/15/2018,1/16/2018,,5.00,E,,170,E,,2800,,,40000000,E
4682,Skim,Gal,Plastic,458,36-8185,1/15/2018,1/16/2018,,5.00,E,,53000,,,16000000,,,300000000,
4698,1%,½ Pint,Paper,458,36-4739,1/8/2018,1/11/2018,,5.00,E,,27000,,,4800,,,92000000,
4715,1%,½ Gal,Plastic,459,36-1661,2/12/2018,2/14/2018,,5.00,E,,580,,,7000000,,,160000000,
4718,Skim,Gal,Plastic,459,36-1661,2/12/2018,2/14/2018,,2.50,E,,280,E,,400000,E,,33000000,
4719,Skim,qt,Plastic,459,36-1661,2/12/2018,2/14/2018,,5.00,E,,1500,,,7100000,,,68000000,
4722,Homogenized,½ Gal,Plastic,459,36-1348,2/12/2018,2/14/2018,,5.00,E,,210000,,,75000000,,,180000000,
4723,2%,½ Gal,Plastic,459,36-1348,2/12/2018,2/14/2018,,5.00,E,,150000,,,46000000,,,11000000,
4724,Skim,½ Gal,Plastic,459,36-1348,2/12/2018,2/14/2018,,61.00,E,,400000,E,,22000000,,,340000,
4727,Homogenized,½ Gal,Paper,459,36-3108,2/21/2018,2/23/2018,,5.00,E,,53000,,,8000000,,,210000000,
4728,2%,½ Gal,Paper,459,36-3108,2/21/2018,2/23/2018,,5.00,E,,52000,,,2500000,,,240000000,
4729,Skim,½ Gal,Paper,459,36-3108,2/21/2018,2/23/2018,,5.00,E,,2400,,,520000,,,1900000,
4730,Homogenized,½ Gal,Plastic,459,36-3108,2/21/2018,2/23/2018,,5.00,E,,8500,,,530000,,,4500000,
4731,2%,½ Gal,Plastic,459,36-3108,2/21/2018,2/23/2018,,5.00,E,,410000,,,100000000,,,220000000,
4734,Homogenized,½ Gal,Plastic,460,33-08,3/12/2018,3/16/2018,,5.00,E,,20,E,,20000,,,14000000,
4748,2%,Gal,Plastic,460,23-03,3/12/2018,3/16/2018,,5.00,E,,1900,,,340000,,,21000000,
4753,Creamline,½ Gal,Plastic,460,36-1255,3/12/2018,3/15/2018,,5.00,E,,5000,,,13000000,,,32000000,
4754,Skim Creamline,½ Gal,Plastic,460,36-1255,3/12/2018,3/15/2018,,5.00,E,,180,E,,44000,,,47000000,
4755,1%,½ Gal,Plastic,460,36-1255,3/12/2018,3/15/2018,,5.00,E,,1500,,,750000,,,180000000,
4757,Skim,qt,Glass,460,36-1255,3/12/2018,3/15/2018,,5.00,E,,1100,,,37000,E,,18000000,
4758,1%,12 oz,Plastic,460,36-1255,3/10/2018,3/15/2018,,2.50,E,,,,,400000,E,,61000000,
4759,1%,qt,Glass,460,36-1255,3/12/2018,3/15/2018,,5.00,E,,6600,,,5300000,,,300000000,
4765,Creamline,½ Gal,Plastic,460,36-1296,3/8/2018,3/15/2018,,15000.00,,,,,,400000,E,,150000000,
