VSL Number,Product,SampleID,Plant,Date Collected,Date Processed,Day,Test,GreaterThan/LessThan,Count Value,Countability
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,603,
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,634,
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,10,E
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,92,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,51,E
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,276,E
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,184,E
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,123,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,1690,
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,,2130,
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,215,E
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,112000,
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,,98000,
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,31,E
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,41,E
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,D7,SPC,,531,
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,D7,SPC,,266,E
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,D7,SPC,,1630,
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,D7,SPC,,9330,
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,D7,CVTA,,10600,
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,D7,SPC,,184,E
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,D7,SPC,,225,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D7,SPC,,623,
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D10,SPC,,450,
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D7,SPC,,573,
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D10,SPC,,501,
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D7,SPC,,777,
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D10,SPC,,726,
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,562,
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,634,
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,665,
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,2920,
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,123,E
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,154,E
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D7,SPC,,552,
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,654,
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,614,
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,17700,
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,3510,
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,11300000,
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,368,E
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,205,E
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D7,SPC,,1120,
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,8330000,
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D7,SPC,,82,E
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D10,SPC,,144,
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D7,SPC,,225,E
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D10,SPC,,123,E
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D7,SPC,,133,E
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D10,SPC,,113,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D7,SPC,,102,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D10,SPC,,204,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D7,CVTA,,10,E
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D10,CVTA,,184,E
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,,3070,
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,,4790,
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,,11300000,
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,<,10,E
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D7,CVTA,,878,
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,,6870000,
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D7,CVTA,<,10,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,818,
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,,41,E
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,572,
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,41,E
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,D10,SPC,,51,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,205,E
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,92,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,92,E
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,,121000,
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,1700000,
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,266,E
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,45400000,
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,,80000000,
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,746,
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,D10,SPC,,716,
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,D10,CVTA,,31,E
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,D10,SPC,,552,
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,D10,SPC,,143,E
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,D10,SPC,,16800,
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,D10,SPC,,6230000,
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,D10,CVTA,,5910000,
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,D10,SPC,,123,E
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,D10,SPC,,102,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,D10,CVTA,<,10,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D14,SPC,,1650,
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D14,SPC,,583,
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D14,SPC,,603,
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,17600,
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,99700,
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,3810,
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,1700,
