"","Plant","VSLNumber","SampleID","Day_Initial_Actual","Spoiled20000_yn","AnyGN_yn","exceed20000byD10_yn","exceed100000postD10_yn","HigherSPC_yn","GN_AtLeast2x","spoilagetype","SPC_DI","SPC_D7","SPC_D10","SPC_D14","SPC_D17","SPC_D21","CVTA_DI","CVTA_D7","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","LOD_SPC_DI","LOD_SPC_D7","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_CVTA_DI","LOD_CVTA_D7","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","Plant_VSLNumber_SampleID"
"104","36-5385","469","52",5,"yes","yes","yes","no","yes","yes","ppc",150,"NotTested","4e+07","3e+08","NotTested","NotTested",40,"NotTested","4e+07","3.5e+08","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5385_469_52"
"105","36-5385","469","53",5,"yes","yes","yes","no","yes","yes","ppc",70,"NotTested","4e+07","7.6e+07","NotTested","NotTested",20,"NotTested","4e+07","7.8e+07","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5385_469_53"
"106","36-5673","469","71",7,"yes","yes","yes","no","yes","yes","ppc",18000,"NotTested","4e+07","2e+08","NotTested","NotTested",16000,"NotTested","4e+07","1.6e+08","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5673_469_71"
"107","36-5673","469","72",7,"yes","yes","yes","no","yes","yes","ppc",6400,"NotTested","4e+07","8.9e+07","NotTested","NotTested",7200,"NotTested","4e+07","1.7e+08","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5673_469_72"
"108","36-5673","469","73",7,"yes","yes","yes","no","yes","yes","ppc",3200,"NotTested","4e+07","6e+07","NotTested","NotTested",3000,"NotTested","4e+07","5.4e+07","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5673_469_73"
"109","36-8185","471","52",5,"yes","yes","yes","no","yes","yes","ppc",670,"NotTested","1700000","1700000","2.4e+07","9.1e+07",5,"NotTested","2200000","2200000","2.7e+07","9e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-8185_471_52"
"110","36-8446","464","61",6,"yes","yes","yes","no","yes","yes","ppc",40,"7400","710000","3.6e+07","1.8e+08","3.2e+08",5,"5","4e+05","4e+07","1.9e+08","4.4e+08","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","aboveLOD","aboveLOD","OK","OK","36-8446_464_61"
"111","36-8446","471","41",7,"yes","yes","yes","no","yes","yes","ppc",110,"NotTested","4e+05","4e+07","1.4e+08","2.1e+08",120,"NotTested","4e+05","4e+07","1.4e+08","2.1e+08","OK","OK","aboveLOD","aboveLOD","OK","OK","OK","OK","aboveLOD","aboveLOD","OK","OK","36-8446_471_41"
"112","36-8446","471","41-1",6,"yes","yes","yes","no","yes","yes","ppc",480,"NotTested","4e+05","6.6e+07","3.3e+08","3.4e+08",380,"NotTested","4e+05","8.7e+07","2.9e+08","3.6e+08","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-8446_471_41-1"
"113","36-8832","466","51",2,"yes","yes","yes","no","yes","yes","ppc",10,"2200","4e+07","5e+05","4200000","1300000",5,"3600","4e+07","50000","50000","50000","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","belowLOD","belowLOD","belowLOD","36-8832_466_51"
"114","36-8832","466","52",2,"yes","yes","yes","no","yes","yes","ppc",30,"4e+05","2.9e+07","4.6e+08","1.2e+08","1.3e+08",5,"4e+05","3.4e+07","7.6e+08","1.4e+08","8.2e+07","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-8832_466_52"
"115","42-65","470","63",3,"yes","yes","yes","no","yes","yes","ppc",80,"2600","2700000","9.5e+07","8.6e+07","1.6e+08",5,"3000","3200000","1.3e+08","9.9e+07","2e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","42-65_470_63"
"116","50-13","470","23",2,"yes","yes","yes","no","yes","no","ppc",50,"1200","4800000","500","NotTested","93000",5,"860","4800000","500","NotTested","5","OK","OK","OK","belowLOD","OK","OK","belowLOD","OK","OK","belowLOD","OK","belowLOD","50-13_470_23"
