Trial,PlateID,Day,HTST_Temp,Storage_Temp,Raw_APC,LPC,MSC,MSC_Spread%,PSC_10,PSC_21,PI,APC,CVTA,pH,Particle_Size,Coagulated,IsoID,Genus,Species,AT,Hypothesis,DayInt_SPC
1,85C S10C D21 SPC14,21,85,10,,,,,,,,26600000,Y,5.97,,,,,,,,80
1,90C S10C D21 SPC17,21,90,10,,,,,,,,800000,Y,5.45,,,,,,,,60
1,90C S10C D21 SPC16,21,90,10,,,,,,,,1000000,Y,5.49,,,,,,,,40
1,75C S3C D28 SPC5,28,75,3,,,,,,,,100,N,6.74,380.1,,,,,,,160
1,75C S3C D28 SPC4,28,75,3,,,,,,,,120,N,6.74,355.2,,,,,,,0
1,85C S3C D28 SPC3,28,85,3,,,,,,,,40,N,6.75,383.7,,,,,,,40
1,85C S3C D28 SPC2,28,85,3,,,,,,,,120,N,6.75,369.9,,,,,,,80
1,90C S3C D28 SPC1,28,90,3,,,,,,,,140,N,6.77,367.6,,,,,,,60
1,90C S3C D28 SPC,28,90,3,,,,,,,,120,N,6.77,367.3,,,,,,,40
1,75C S6.5C D28 SPC11,28,75,6.5,,,,,,,,100,N,6.7,437.1,,,,,,,160
1,75C S6.5C D28 SPC10,28,75,6.5,,,,,,,,160,N,6.7,449.2,,,,,,,0
1,85C S6.5C D28 SPC9,28,85,6.5,,,,,,,,14000000,Y,6.49,391.7,,,,,,,40
1,85C S6.5C D28 SPC8,28,85,6.5,,,,,,,,18800000,Y,6.49,371.2,,,,,,,80
1,90C S6.5C D28 SPC7,28,90,6.5,,,,,,,,220,N,6.67,381.6,,,,,,,60
1,90C S6.5C D28 SPC6,28,90,6.5,,,,,,,,140,N,6.67,368.8,,,,,,,40
1,75C S10C D28 SPC17,28,75,10,,,,,,,,1296660,Y,5.74,3449,Y,,,,,,160
1,75C S10C D28 SPC16,28,75,10,,,,,,,,1178782,Y,5.74,3852.3,Y,,,,,,0
1,85C S10C D28 SPC15,28,85,10,,,,,,,,952849,Y,5.82,3497,Y,,,,,,40
1,85C S10C D28 SPC14,28,85,10,,,,,,,,884086,Y,5.82,3303.1,Y,,,,,,80
1,90C S10C D28 SPC13,28,90,10,,,,,,,,3800000,Y,5.84,2606.9,Y,,,,,,60
1,90C S10C D28 SPC12,28,90,10,,,,,,,,3400000,Y,5.84,3435.7,Y,,,,,,40
1,75C S3C D35 SPC RECOUNT,35,75,3,,,,,,,,180,N,6.71,400.6,,,,,,,160
1,75C S3C D35 SPC RECOUNT 2,35,75,3,,,,,,,,120,N,6.71,390.4,,,,,,,0
1,85C S3C D35 SPC3,35,85,3,,,,,,,,120,N,6.74,329.7,,,,,,,40
1,85C S3C D35 SPC2,35,85,3,,,,,,,,120,N,6.74,336.7,,,,,,,80
1,90C S3C D35 SPC RECOUNT 3,35,90,3,,,,,,,,660,N,6.69,290.1,,,,,,,60
1,90C S3C D35 SPC RECOUNT 4,35,90,3,,,,,,,,800,N,6.69,302.1,,,,,,,40
1,75C S6.5C D35 SPC7,35,75,6.5,,,,,,,,8694,N,6.68,506.9,,,,,,,160
1,75C S6.5C D35 SPC6,35,75,6.5,,,,,,,,10020,N,6.68,514,,,,,,,0
1,85C S6.5C D35 SPC9,35,85,6.5,,,,,,,,3800000,Y,6.22,464.4,,,,,,,40
1,85C S6.5C D35 SPC8,35,85,6.5,,,,,,,,4800000,Y,6.22,467.9,,,,,,,80
1,90C S6.5C D35 SPC11,35,90,6.5,,,,,,,,680,N,6.67,382.4,,,,,,,60
1,90C S6.5C D35 SPC10,35,90,6.5,,,,,,,,720,N,6.67,380.4,,,,,,,40
1,75C S10C D35 SPC13,35,75,10,,,,,,,,64047028,Y,5.57,3013.6,Y,,,,,,160
1,75C S10C D35 SPC12,35,75,10,,,,,,,,68378712,Y,5.57,4942.6,Y,,,,,,0
1,85C S10C D35 SPC15,35,85,10,,,,,,,,242000,Y,5.69,2474.2,Y,,,,,,40
1,85C S10C D35 SPC14,35,85,10,,,,,,,,218000,Y,5.69,2786.1,Y,,,,,,80
1,90C S10C D35 SPC17,35,90,10,,,,,,,,90000,Y,6,2684.6,Y,,,,,,60
1,90C S10C D35 SPC16,35,90,10,,,,,,,,98000,Y,6,3735.8,Y,,,,,,40
1,75C S3C D42 SPC1,42,75,3,,,,,,,,60,N,6.66,475.8,,,,,,,160
1,75C S3C D42 SPC,42,75,3,,,,,,,,60,N,6.66,466.1,,,,,,,0
1,85C S3C D42 SPC3,42,85,3,,,,,,,,760,N,6.7,380.9,,,,,,,40
