ID,Initial microbial count,LOG Initial microbial count
4576,-0.912921655,0.122202009
4577,0.288536082,1.943283139
4578,0.112786854,1.296542789
4580,0.534130864,3.420825053
4581,1.400876625,25.16961802
4582,0.698970004,5
4583,0.698970004,5
4585,0.698970004,5
4586,0.698970004,5
4587,0.4980385,3.148027373
4589,1.605350495,40.30421765
4590,0.253756823,1.793728974
4591,0.698970004,5
4592,0.698970004,5
4593,0.698970004,5
4595,0.627886028,4.245081453
4596,-0.765017153,0.171784054
4597,0.698970004,5
4599,-0.771713632,0.169155595
4600,-0.601276613,0.250451356
4602,-0.994129992,0.101360795
4603,0.698970004,5
4604,-0.786497919,0.163494099
4605,0.698970004,5
4607,0.698970004,5
4608,0.698970004,5
4609,0.698970004,5
4613,0.698970004,5
4614,0.698970004,5
4615,0.698970004,5
4616,0.698970004,5
4617,-0.944633633,0.113596871
4618,0.698970004,5
4619,0.698970004,5
4620,0.698970004,5
4622,0.198573852,1.579697214
4623,-0.33725341,0.459988093
4624,0.698970004,5
4625,1.07221302,11.80899721
4626,0.08872261,1.226655499
4627,0.288576497,1.943463986
4628,0.07730338,1.194822465
4629,-3.215141803,0.000609338
4631,1.412236255,25.83665314
4632,0.76325369,5.797672643
4635,1.77301147,59.29409844
4636,-0.730262051,0.18609639
4637,-0.770498642,0.169629491
4638,-0.806726151,0.15605362
4639,0.698970004,5
4641,0.066504913,1.165480234
4642,0.698970004,5
4643,-1.422984746,0.037758545
4644,-1.469110985,0.033953849
4645,-0.57491379,0.266125328
4647,0.698970004,5
4649,0.698970004,5
4650,0.698970004,5
4651,-1.136420508,0.07304315
4652,0.429326371,2.687363232
4653,-2.074789108,0.008418038
4654,1.849881154,70.77520799
4656,0.698970004,5
4657,-0.015388648,0.965186751
4658,0.698970004,5
4659,-0.298454621,0.502973819
4660,-0.284971274,0.518834355
4661,0.163090415,1.455762122
4662,-0.175154987,0.668105448
4663,0.520055721,3.31173609
4664,0.165998864,1.465544009
4665,0.485021493,3.055072303
4667,2.910213666,813.230514
4668,3.539134124,3460.462313
4669,0.698970004,5
4674,0.698970004,5
4675,0.992060914,9.818856518
4676,-0.36336616,0.433145534
4677,0.698970004,5
4678,1.038213097,10.91976009
4679,0.698970004,5
4680,0.873229264,7.468429121
4681,-0.035163645,0.922223861
4682,0.947484987,8.861045921
4683,0.698970004,5
4685,0.698970004,5
4686,0.698970004,5
4687,-0.803734107,0.157132454
4688,-0.54221612,0.286935234
4689,0.698970004,5
4690,0.109939652,1.288070552
4691,0.698970004,5
4693,0.698970004,5
4694,-1.186833837,0.065037848
4695,0.698970004,5
4696,-1.186833837,0.065037848
4698,-0.28669555,0.516778516
4700,0.698970004,5
4703,0.698970004,5
4704,0.37058244,2.347374812
4705,1.305397127,20.20212838
4709,0.698970004,5
4710,0.698970004,5
4711,0.698970004,5
4712,0.698970004,5
4713,-0.311597497,0.48798054
4714,0.698970004,5
4715,-0.220835912,0.60140092
4716,0.826441989,6.705667103
4717,1.590559791,38.95469342
4718,0.851844178,7.109583811
4719,0.040519506,1.097790595
4722,0.793231625,6.212002542
4723,1.077325522,11.94883385
4724,2.562598579,365.2570259
4727,0.471198819,2.95936695
4728,0.408371555,2.560775789
4729,0.475004542,2.985413839
4730,0.56808028,3.698965498
4731,0.885214318,7.677402647
4734,-2.217286194,0.006063366
4735,0.698970004,5
4736,0.897399472,7.8958606
4737,0.698970004,5
4739,0.698970004,5
4740,0.698970004,5
4741,0.698970004,5
4742,0.698970004,5
4744,0.698970004,5
4745,0.698970004,5
4746,0.837205226,6.873931919
4747,0.698970004,5
4748,-0.930228026,0.117428084
