"","Plant","VSLNumber","SampleID","Day_Initial_Actual","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","LOD_CVTA_D7","LOD_CVTA_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"27","Byrne Dairy","457","22-3",2,4e+08,"3.1e+09","2e+08","NotTested",20,"20","9.5e+07","2.4e+09","1.9e+08","NotTested",4e+05,540,">","OK","OK","OK","<","<","OK","OK","OK","OK",">","OK"
"28","Byrne Dairy","457","23",2,20,"20","3100","20",20,"20","170","120000","130","870",300,180,"<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"29","Byrne Dairy","457","23-1",2,20,"20","2000","200",20,"100","240","3100","20000","3400000",310,420,"<","<","<","<","<","OK","OK","OK","OK","OK","OK","OK"
"30","Byrne Dairy","457","23-2",2,4400000,"3.5e+07","4.7e+07","8.1e+07",200,"NotTested","3400000","2.3e+07","4.3e+07","7.6e+07",500,330,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"31","Byrne Dairy","457","23-3",2,20,"20","20","20",20,"20","170","130","150","2400",220,540,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"32","Byrne Dairy","457","23-4",2,20,"360","2000","1100",20,"20","200","5100","46000","160000",220,300,"<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"33","Byrne Dairy","457","24",2,20,"20","180","4e+05",20,"20","160","130","530","110000",300,300,"<","<","OK",">","<","<","OK","OK","OK","OK","OK","OK"
"34","Byrne Dairy","457","24-1",2,20,"20","12000","200",20,"20","270","12000","540000","1e+07",350,250,"<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"35","Byrne Dairy","Aim2","Prelim",2,194,"4e+07","408500","0",0,"0","1420","43350000","725500","123000",2370,2870,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"36","Byrne Dairy","Aim2","Prelim",2,9595000,"0","4.71e+08","0",2015,"0","13800000","51100","4.83e+08","613000",4150,2450,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"37","Byrne Dairy","Aim2","Prelim",2,43700000,"2.96e+08","NotTested","NotTested",58350,"10","42300000","2.49e+08","NotTested","NotTested",53250,2140,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"38","Byrne Dairy","Aim2","Prelim",2,29100000,"293500000","NotTested","NotTested",86750,"0","28750000","267500000","NotTested","NotTested",66850,2370,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"39","Byrne Dairy","Aim2","Prelim",2,0,"0","0","0",0,"0","1460","164","999","1980",2380,2890,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"40","Byrne Dairy","Aim2","Prelim",2,10310000,"40400000","NotTested","NotTested",2950,"0","9575000","3.9e+07","NotTested","NotTested",3210,2105,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"41","Byrne Dairy","Aim2","Prelim",2,37700000,"152500000","NotTested","NotTested",49900,"0","35300000","177500000","NotTested","NotTested",48650,3240,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"42","Byrne Dairy","Aim2","Prelim",2,8e+06,"257500000","NotTested","NotTested",27200,"0","16250000","2.51e+08","NotTested","NotTested",31700,2975,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"43","Cornell Dairy","434","72",1,53400000,"5.72e+08","4.9e+08","2.07e+08",4e+05,"10","34500000","3.88e+08","4.01e+08","2.05e+08",4e+05,164,"OK","OK","OK","OK",">","OK","OK","OK","OK","OK",">","OK"
"44","Cornell Dairy","434","72-1",1,65300000,"4.41e+08","5.24e+08","6.75e+08",4e+05,"10","41800000","3.31e+08","3.79e+08","5.28e+08",4e+05,133,"OK","OK","OK","OK",">","OK","OK","OK","OK","OK",">","OK"
"45","Cornell Dairy","434","73",1,63200000,"1.89e+08","2.76e+08","3.98e+08",4e+05,"10","41500000","1.38e+08","2.26e+08","2.76e+08",4e+05,123,"OK","OK","OK","OK",">","OK","OK","OK","OK","OK",">","OK"
"46","Cornell Dairy","434","73-1",1,54500000,"2.29e+08","4.64e+08","3.62e+08",4e+05,"10","37900000","1.87e+08","3.56e+08","2.53e+08",4e+05,450,"OK","OK","OK","OK",">","<","OK","OK","OK","OK",">","OK"
"47","Cornell Dairy","437","32",1,10,"10","10","10",10,"10","1200","818","1040","18000",848,1130,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"48","Cornell Dairy","437","32-1",1,562,"21","10","1.4e+07",10,"10","1710","2230","9610","9810000",1200,1410,"OK","OK","<","OK","OK","<","OK","OK","OK","OK","OK","OK"
"49","Cornell Dairy","437","33",1,10,"10","10","10",10,"10","1020","1030","1470","557000",1260,1030,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"50","Cornell Dairy","437","33-1",1,10,"10","10","10",10,"10","1190","624","2930","1740000",1250,1470,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"51","Cornell Dairy","439","62",0,10,"10","10","10",10,"10","245","368","634","5980",337,327,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"52","Cornell Dairy","439","62-1",0,10,"10","10","10",10,"10","246","388","593","55500",450,338,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"53","Cornell Dairy","439","63",0,436000,"1000","10","10",5790,"10","499000","1000","266","3900",6200,246,"OK","<","<","<","OK","<","OK","<","OK","OK","OK","OK"
"54","Cornell Dairy","439","63-1",0,10,"10","10","10",10,"10","276","174","419","4500",307,205,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"55","Cornell Dairy","442","32",0,10,"10","10","10",10,"10","634","471","570","399",674,552,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"56","Cornell Dairy","442","32-1",0,10,"10","10","10",10,"10","501","1210","1830","4330",552,613,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"57","Cornell Dairy","442","33",0,10,"10","10","10",10,"10","481","450","540","276",675,501,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"58","Cornell Dairy","442","33-1",0,10,"10","10","10",10,"10","644","501","5490","1220",757,654,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"59","Garelick Farms","435","42",0,10,"10","10","10",10,"10","1550","2760","25200","4090000",550,660,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"60","Garelick Farms","435","42-1",0,10,"10","10","1420",10,"10","511","25400","6030","661000",532,501,"<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"61","Garelick Farms","435","42-2",0,32600000,"100","100","10",187000,"10","12100","2560","13700","231000",511,491,"OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"62","Garelick Farms","435","43",0,10,"10","10","10",10,"10","174","133","22900","103000",220,260,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"63","Garelick Farms","435","43-1",0,10,"10","10","2290",10,"10","123","705","2190","4e+05",195,246,"<","<","<","OK","<","<","OK","OK","OK",">","OK","OK"
"64","Garelick Farms","435","43-2",0,164,"10","10","10",10,"10","389","973","10300","73600",225,297,"OK","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"65","Garelick Farms","437","72",2,3400000,"10","10","10",8410,"10","4430000","21500","2530000","15500000",8310,389,"OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"66","Garelick Farms","437","72-1",2,14800000,"1.97e+08","1000","60300",2970,"10","10800000","2.18e+08","4310000","34500000",4710,327,"OK","OK","<","OK","OK","<","OK","OK","OK","OK","OK","OK"
"67","Garelick Farms","437","72-2",2,63600,"10","1250","10",327,"10","1960","99100","7930000","4.1e+07",256,276,"OK","<","OK","<","OK","<","OK","OK","OK","OK","OK","OK"
"68","Garelick Farms","437","73",2,9810000,"1020","4220000","1020",3640,"10","8770000","16000","5130000","1970000",3220,348,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"69","Garelick Farms","437","73-1",2,10,"137000","16800000","79700",10,"10","266","103000","1.5e+07","9800000",266,460,"<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"70","Garelick Farms","437","73-2",2,5840000,"10","10","10",58300,"10","6550000","4050","57800","1380000",52700,338,"OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"71","Garelick Farms","440","42",1,10,"10","10300","548000",10,"10","307","3900","168000","350000",164,143,"<","<","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"72","Garelick Farms","440","42-1",1,10,"21","613","10",10,"10","245","3140","207000","3200000",113,113,"<","OK","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"73","Garelick Farms","440","42-2",1,10,"10","10","10",10,"10","245","4750","63100","1110000",153,102,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"74","Garelick Farms","440","43",1,10,"10","10","10",10,"10","92","205","148000","502000",123,51,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"75","Garelick Farms","440","43-1",1,10,"10","10","10",10,"10","31","26100","4090","353000",92,154,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"76","Garelick Farms","440","43-2",1,427000,"1.8e+07","2.02e+08","2970000",654,"10","573","18100000","2.03e+08","204000",113,215,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"77","Garelick Farms","442","72",2,10,"92","10","10",10,"10","297","1500","13200","149000",287,429,"<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"78","Garelick Farms","442","72-1",2,10,"10","10","10",10,"10","358","521","9470","195000",307,317,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"79","Garelick Farms","442","72-2",2,10,"10","10","10",10,"10","205","450","3330","73600",235,368,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"80","Garelick Farms","442","73",2,10,"4e+05","10","10",10,"10","286","4e+05","164","929",286,286,"<",">","<","<","<","<","OK",">","OK","OK","OK","OK"
"81","Garelick Farms","442","73-1",2,10,"10","10","4e+05",10,"10","235","184","184","4e+05",287,450,"<","<","<",">","<","<","OK","OK","OK",">","OK","OK"
"82","Garelick Farms","442","73-2",2,10,"10","15200","10",10,"10","194","256","40000","143",368,358,"<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"83","Garelick Farms","458","11",1,20,"20","20","200",20,"20","2400","27000","650000","2300000",2800,4000,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"84","Garelick Farms","458","12",1,4e+07,"5.9e+07","7e+06","4.9e+07",9500,"20","1.7e+07","1.1e+08","8e+06","6.6e+07",23000,1000,">","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"85","Garelick Farms","458","12-1",1,4e+07,"9.5e+07","4.3e+08","1e+08",36000,"20","9800000","8e+07","2.1e+08","1.3e+08",56000,860,">","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"86","Garelick Farms","458","12-2",1,20,"20","20","2700",20,"20","310","1300","20000","260000",1000,540,"<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"87","Garelick Farms","458","12-3",1,350,"20","82","2.3e+07",20,"20","710","2000","1e+05","3900000",990,830,"OK","<","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"88","Garelick Farms","458","13",1,20,"4e+05","4e+07","8000",20,"20","620","4e+05","4e+07","3e+05",1300,1100,"<",">",">","<","<","<","OK",">",">","OK","OK","OK"
"89","Garelick Farms","458","13-1",1,2800,"4e+07","4e+07","8400000",170,"20","2800","2500000","4e+07","6.4e+07",19000,460,"OK",">",">","OK","OK","<","OK","OK",">","OK","OK","OK"
"90","Garelick Farms","458","13-2",1,1.6e+07,"3e+08","1.1e+08","8.6e+07",53000,"20","1.2e+07","2.6e+08","3.2e+08","7.2e+07",43000,710,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"91","Garelick Farms","458","13-3",1,20,"20","20","570",20,"20","940","620","7500","160000",1800,920,"<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"92","Garelick Farms","458","14",1,20,"20","20","20",20,"20","640","500","1900","190000",890,410,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"93","Garelick Farms","Aim2","Prelim",2,5575000,"21500000","NotTested","NotTested",1430,"0","4955000","17150000","NotTested","NotTested",1535,776,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"94","Garelick Farms","Aim2","Prelim",2,1.9e+07,"108500000","NotTested","NotTested",14950,"0","19600000","1.1e+08","NotTested","NotTested",14550,532,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"95","Garelick Farms","Aim2","Prelim",2,0,"34600","0","29100",0,"0","286","38650","398","43950",613,664,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"96","Garelick Farms","Aim2","Prelim",2,10185000,"15700000","NotTested","NotTested",1205,"0","12450000","18750000","NotTested","NotTested",1605,490,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"97","Garelick Farms","Aim2","Prelim",2,21650000,"NotTested","NotTested","NotTested",4030000,"61","28950000","NotTested","NotTested","NotTested",5090000,838,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"98","Garelick Farms","Aim2","Prelim",2,19550000,"7.6e+07","NotTested","NotTested",4e+05,"0","23500000","81600000","NotTested","NotTested",4e+05,603,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"99","Garelick Farms","Aim2","Prelim",2,15400000,"89750000","NotTested","NotTested",91350,"0","20750000","92250000","NotTested","NotTested",69750,888,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"100","Hood-Agawam","433","11",2,10,"10","10","29000",10,"10","450","1650","908","3070000",623,603,"<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"101","Hood-Agawam","433","12",2,184,"10","20","215",10,"10","501","583","1580","149000",573,920,"OK","<","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"102","Hood-Agawam","433","12-2",2,10,"10","10","10",10,"10","552","654","184","33200",531,849,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"103","Hood-Agawam","433","13-2",2,10,"10","10","10",10,"10","143","409","112","92",266,378,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"104","Hood-Agawam","433","14",2,10,"10","10","1240",10,"10","726","603","716","2090000",777,1080,"<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"105","Hood-Agawam","436","92",3,10,"175000","10","10",10,"10","450","145000","450","405000",583,562,"<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"106","Hood-Agawam","436","92-2",3,10,"10","10","10",10,"10","389","1760","501","409",664,716,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"107","Hood-Agawam","436","93",3,10,"10","10","10",10,"10","1040","675","593","11500",1160,1570,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"108","Hood-Agawam","436","93-1",3,10,"10","10","10",10,"10","858","848","675","111000",1220,1450,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"109","Hood-Agawam","436","93-2",3,10,"10","10","10",10,"10","204","195","491","10200",358,337,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"110","Hood-Agawam","438","12",1,10,"10","10000","10",11800,"10","12500000","20600000","72300000","4.98e+09",11700,360,"<","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"111","Hood-Agawam","438","12-2",1,10,"10","10","4e+05",10,"10","552","4e+05","8090","4e+07",521,644,"<","<","<",">","<","<","OK",">","OK",">","OK","OK"
"112","Hood-Agawam","438","13",1,10,"399","10","10",10,"10","123","562","330","70",644,430,"<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"113","Hood-Agawam","438","13-1",1,10,"10","10","10",10,"10","307","256","429","215",532,460,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"114","Hood-Agawam","438","13-2",1,10,"10","10","10",10,"10","644","215","215","409",491,531,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"115","Hood-Agawam","441","62",2,10,"10","20","205",10,"10","154","1580","14600","62400",113,113,"<","<","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"116","Hood-Agawam","441","62-2",2,10,"4e+05","10","10",10,"10","389","4e+05","613","1170",399,430,"<",">","<","<","<","<","OK",">","OK","OK","OK","OK"
"117","Hood-Agawam","441","63",2,18300,"21700","10","120000",10,"10","15600","19600","2650","125000",245,379,"OK","OK","<","OK","OK","<","OK","OK","OK","OK","OK","OK"
"118","Hood-Agawam","441","63-1",2,10,"10","10","10",10,"10","286","409","388","818",307,491,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"119","Hood-Agawam","441","63-2",2,2720000,"31300000","72300000","1e+05",1970,"10","3050000","33100000","71500000","1e+05",1700,481,"OK","OK","OK","<","OK","<","OK","OK","OK","<","OK","OK"
"120","Hood-Barre","433","41",2,10,"31","1190","10",10,"10","144","929","34800","10200000",82,92,"<","OK","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"121","Hood-Barre","433","42",2,10,"10","31","9660",10,"10","123","807","0","130000",225,817,"<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"122","Hood-Barre","433","42-1",2,10,"10","10","256",10,"10","123","133","68800","1270000",184,102,"<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"123","Hood-Barre","433","43",2,10,"10","10","10",10,"10","113","123","2910","3270000",133,225,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"124","Hood-Barre","433","43-1",2,10,"10","10","10",10,"10","102","184","51","1530",225,286,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"125","Hood-Barre","433","44",2,10,"41","368","29700",10,"10","204","266","13200","2200000",102,102,"<","OK","OK","OK","<","OK","OK","OK","OK","OK","OK","OK"
"126","Hood-Barre","436","102",2,10,"10","10","10",10,"10","92","82","225","27000",61,82,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"127","Hood-Barre","436","102-1",2,10,"10","10","10",10,"10","92","61","2780","1630",41,51,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"128","Hood-Barre","436","103",2,1,"10","10","10",10,"10","21","20","10","20",21,41,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"129","Hood-Barre","436","103-1",2,10,"10","10","10",10,"10","20","41","10","10",20,31,"<","<","<","<","<","<","OK","OK","<","<","OK","OK"
"130","Hood-Barre","438","42",2,10,"10","10","10",10,"10","20","31","450","747000",10,41,"<","<","<","OK","<","<","OK","OK","OK","OK","<","OK"
"131","Hood-Barre","438","42-1",2,10,"10","10","10",10,"10","10","41","777","154",92,61,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"132","Hood-Barre","438","43",2,10,"10","10","10",10,"10","20","41","31","82",20,82,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"133","Hood-Barre","441","72",2,10,"10","10","10",10,"10","296","215","154","307",286,164,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"134","Hood-Barre","441","72-1",2,10,"10","10","10",10,"10","246","368","133","388",297,307,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"135","Hood-Barre","441","73",2,10,"10","10","10",10,"10","41","72","389","3010",72,10,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"136","Hood-Barre","441","73-1",2,10,"10","10","117000",10,"10","113","858","6550","4e+05",31,51,"<","<","<","OK","<","<","OK","OK","OK",">","OK","OK"
"137","Hood-Concord","433","21",2,10,"72","10","542",10,"10","634","17600","399000","2.1e+07",562,735,"<","OK","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"138","Hood-Concord","433","22",2,3070,"93800","1660000","2220000",10,"10","2920","99700","2300000","70500000",665,1200,"OK","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"139","Hood-Concord","433","22-1",2,41,"10","10","10",10,"10","818","1680","118000","19400000",603,1030,"OK","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"140","Hood-Concord","433","22-2",2,10,"10","10","10",10,"10","572","1910","45000","2490000",634,838,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"141","Hood-Concord","433","23",2,10,"4410","10","10",10,"10","154","3810","1340","108000",123,194,"<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"142","Hood-Concord","433","23-1",2,10,"10","10","10",10,"10","41","10","297","256",10,123,"<","<","<","<","<","<","OK","<","OK","OK","OK","OK"
"143","Hood-Concord","433","23-2",2,10,"10","10","10",10,"10","51","72","102","35000",92,143,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"144","Hood-Concord","433","24",2,10,"10","10","10",10,"10","654","1700","31700","9610000",552,746,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"145","Hood-Concord","435","72",2,10,"10","10","10",10,"10","603","460","2340","276",430,879,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"146","Hood-Concord","435","72-1",2,10,"10","10","10",10,"10","798","583","1140","2940",501,818,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"147","Hood-Concord","435","72-2",2,10,"10","10","10",10,"10","634","971","256","3640",562,838,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
