LOG DI,LOG D7,LOG D10,LOG D14
1.301029996,3.662757832,7.146128036,8.079181246
1.301029996,7.602059991,7.301029996,8.079181246
1.301029996,5.602059991,7.414973348,8.079181246
1.301029996,2.851258349,5.322219295,8.041392685
1.301029996,4.447158031,5.832508913,8.041392685
1.301029996,3.491361694,7.602059991,8.041392685
1.301029996,2.447158031,7.612783857,8.041392685
1.301029996,1.301029996,3.361727836,8
1.301029996,4.672097858,5.602059991,8
1.301029996,,6.556302501,8
1.301029996,3.397940009,7.908485019,8
1.301029996,5.602059991,7.113943352,7.995635195
1.301029996,1.301029996,7.602059991,7.995635195
1.301029996,2.763427994,7.662757832,7.986771734
1.301029996,5.602059991,3.447158031,7.977723605
1.301029996,3.380211242,6.84509804,7.963787827
1.301029996,,7.531478917,7.954242509
1.301029996,5.602059991,7.602059991,7.934498451
1.301029996,1.903089987,3.079181246,7.924279286
1.301029996,3.342422681,7.698970004,7.924279286
1.301029996,4.447158031,6.968482949,7.913813852
1.301029996,6.707570176,7.698970004,7.913813852
1.301029996,1.301029996,7.602059991,7.903089987
1.301029996,5.602059991,5.602059991,7.897627091
1.301029996,3.556302501,5.079181246,7.892094603
1.301029996,5.602059991,7.602059991,7.892094603
1.301029996,,,7.886490725
1.301029996,7.602059991,6.716003344,7.86332286
1.301029996,1.301029996,4.079181246,7.851258349
1.301029996,1.301029996,7.672097858,7.84509804
1.301029996,6.785329835,7.73239376,7.838849091
1.301029996,7.301029996,3.944482672,7.832508913
1.301029996,1.301029996,7.875061263,7.832508913
1.301029996,2.462397998,7.602059991,7.812913357
1.301029996,4.431363764,7.84509804,7.806179974
1.301029996,2,6.602059991,7.792391689
1.301029996,2.431363764,5.602059991,7.785329835
1.301029996,5.602059991,3.322219295,7.770852012
1.301029996,6.826074803,5.602059991,7.770852012
1.301029996,5.176091259,7.602059991,7.770852012
1.301029996,4.934498451,6.612783857,7.763427994
1.301029996,3.146128036,5.041392685,7.748188027
1.301029996,6.113943352,5.602059991,7.748188027
1.301029996,4.414973348,6.579783597,7.748188027
1.301029996,1.301029996,4.041392685,7.73239376
1.301029996,5.041392685,7.591064607,7.716003344
1.301029996,1.301029996,7.681241237,7.707570176
1.301029996,5.602059991,4.204119983,7.681241237
1.301029996,1.301029996,5.875061263,7.672097858
1.301029996,5.602059991,7.255272505,7.662757832
1.301029996,2.857332496,6.954242509,7.643452676
1.301029996,7.602059991,7.361727836,7.633468456
1.301029996,5.602059991,5.602059991,7.62324929
1.301029996,4.041392685,6.146128036,7.62324929
1.301029996,3.556302501,6.204119983,7.612783857
1.301029996,,3.041392685,7.602059991
1.301029996,4.568201724,5.602059991,7.602059991
1.301029996,,7,7.602059991
1.301029996,5.176091259,7.146128036,7.602059991
1.301029996,4.72427587,7.204119983,7.602059991
1.301029996,3.72427587,7.301029996,7.602059991
1.301029996,4.505149978,7.612783857,7.602059991
1.301029996,1.301029996,7.792391689,7.602059991
1.301029996,3.322219295,3.146128036,7.579783597
1.301029996,1.612783857,5.146128036,7.579783597
1.301029996,4.544068044,7.447158031,7.544068044
1.301029996,2.963787827,7.73239376,7.544068044
1.301029996,4.643452676,4.568201724,7.531478917
1.301029996,5.146128036,5.602059991,7.531478917
1.301029996,1.301029996,7.041392685,7.531478917
1.301029996,2,5.977723605,7.51851394
1.301029996,3.342422681,6.763427994,7.51851394
1.301029996,3.832508913,7.342422681,7.51851394
1.301029996,4.531478917,7.612783857,7.51851394
1.301029996,3.322219295,4.643452676,7.505149978
1.301029996,4.342422681,5.602059991,7.505149978
1.301029996,5.602059991,6.73239376,7.462397998
1.301029996,4.041392685,3.832508913,7.447158031
1.301029996,5.602059991,5.602059991,7.431363764
1.301029996,,5.51851394,7.414973348
1.301029996,2.462397998,6.342422681,7.414973348
1.301029996,5.602059991,7.602059991,7.414973348
1.301029996,4.591064607,7.079181246,7.397940009
1.301029996,4.579783597,5.602059991,7.361727836
1.301029996,3.51851394,7.602059991,7.342422681
1.301029996,3.716003344,7.113943352,7.322219295
1.301029996,5.602059991,3.462397998,7.278753601
1.301029996,1.707570176,6.968482949,7.278753601
1.301029996,,7.146128036,7.278753601
1.301029996,1.301029996,7.361727836,7.278753601
1.301029996,4.361727836,5.602059991,7.255272505
1.301029996,2.913813852,6.491361694,7.255272505
1.301029996,5.113943352,7.230448921,7.255272505
1.301029996,4.591064607,7.556302501,7.230448921
1.301029996,2.643452676,7.568201724,7.230448921
1.301029996,4.505149978,5.602059991,7.204119983
1.301029996,6.414973348,5.903089987,7.204119983
1.301029996,5.602059991,5.531478917,7.146128036
1.301029996,5.322219295,5.602059991,7.146128036
1.301029996,2.431363764,6.477121255,7.146128036
1.301029996,1.602059991,7.146128036,7.146128036
1.301029996,3.414973348,4.934498451,7.113943352
1.301029996,3.431363764,6.380211242,7.113943352
1.301029996,3.255272505,6.397940009,7.113943352
1.301029996,4.959041392,6.51851394,7.113943352
1.301029996,3.477121255,4.73239376,7.079181246
1.301029996,5.602059991,7.041392685,7.079181246
1.301029996,5.380211242,7.322219295,7.079181246
1.301029996,5.146128036,7.672097858,7.079181246
1.301029996,3.698970004,7.342422681,7.041392685
1.301029996,4.591064607,4.903089987,7
1.301029996,5.792391689,6.556302501,7
1.301029996,,7.322219295,7
1.301029996,2.255272505,5.544068044,6.995635195
1.301029996,,5.602059991,6.934498451
1.301029996,3.838849091,4.414973348,6.892094603
1.301029996,5.602059991,7.322219295,6.875061263
1.301029996,4.792391689,7.079181246,6.84509804
1.301029996,4.431363764,7.602059991,6.832508913
1.301029996,4.041392685,3,6.792391689
1.301029996,1.301029996,5.69019608,6.73239376
1.301029996,5.602059991,8,6.653212514
1.301029996,5.602059991,5.770852012,6.643452676
1.301029996,1.77815125,3.397940009,6.602059991
1.301029996,3.491361694,5.602059991,6.591064607
1.301029996,5.602059991,6.991226076,6.556302501
1.301029996,3.255272505,3.707570176,6.544068044
1.301029996,1.301029996,3.230448921,6.531478917
1.301029996,3.602059991,5.602059991,6.531478917
1.301029996,5.278753601,4.832508913,6.477121255
1.301029996,1.301029996,5.041392685,6.462397998
1.301029996,2.903089987,4.491361694,6.447158031
1.301029996,1.903089987,5.041392685,6.447158031
1.301029996,,7.204119983,6.342422681
1.301029996,6.72427587,3,6.301029996
1.301029996,3.819543936,5.72427587,6.278753601
1.301029996,1.301029996,6.86923172,6.278753601
1.301029996,5.602059991,7.113943352,6.230448921
1.301029996,6.643452676,5.447158031,6.204119983
1.301029996,5.602059991,7.380211242,6.079181246
1.301029996,5.602059991,7.653212514,6.079181246
1.301029996,3.72427587,7.84509804,6.079181246
1.301029996,7.146128036,7.462397998,5.995635195
1.301029996,,7.176091259,5.886490725
1.301029996,1.301029996,5.602059991,5.84509804
1.301029996,4.041392685,4.079181246,5.838849091
1.301029996,1.301029996,7.342422681,5.826074803
1.301029996,2.204119983,3.748188027,5.77815125
1.301029996,2.880813592,4,5.72427587
1.301029996,3.041392685,5.949390007,5.672097858
1.301029996,3.51851394,7.875061263,5.633468456
1.301029996,4.204119983,3.602059991,5.602059991
1.301029996,3.633468456,3.977723605,5.602059991
1.301029996,3.851258349,4.991226076,5.602059991
1.301029996,1.301029996,5.602059991,5.602059991
1.301029996,2.51851394,5.602059991,5.602059991
1.301029996,3.447158031,5.602059991,5.602059991
1.301029996,3.73239376,5.602059991,5.602059991
1.301029996,3.949390007,5.602059991,5.602059991
1.301029996,3.414973348,7.602059991,5.431363764
1.301029996,4.146128036,3.886490725,5.301029996
1.301029996,5.602059991,7.531478917,5.301029996
1.301029996,4.755874856,6.579783597,5.230448921
1.301029996,5.602059991,3.176091259,5.079181246
1.301029996,,6.079181246,4.892094603
1.301029996,5.602059991,5.113943352,4.799340549
1.301029996,5.602059991,6.505149978,4.740362689
1.301029996,4.556302501,5.602059991,4.568201724
1.301029996,4.230448921,5.602059991,4.544068044
1.301029996,4.255272505,3.755874856,4.477121255
1.301029996,4.505149978,3.301029996,4.414973348
1.301029996,5.602059991,7.176091259,3.568201724
1.301029996,5.602059991,6.740362689,3.301029996
1.301029996,5,7.556302501,3.301029996
1.301029996,5.602059991,8.505149978,3.301029996
1.491361694,3.806179974,7.612783857,9.505149978
1.491361694,5.602059991,7.968482949,8.934498451
1.491361694,4.176091259,7.361727836,8.84509804
1.491361694,1,5.602059991,8.556302501
1.491361694,2.770852012,6.908485019,8.556302501
1.491361694,5.255272505,6.812913357,7.462397998
1.602059991,,8.204119983,9.204119983
1.602059991,5.602059991,7.740362689,8.681241237
1.602059991,1.301029996,7.342422681,8.62324929
1.602059991,4.832508913,7.397940009,8.62324929
1.602059991,5.113943352,7.602059991,8.544068044
1.602059991,3.556302501,7.51851394,8.322219295
1.602059991,6.740362689,7.230448921,7.602059991
1.602059991,5.602059991,7.602059991,5.707570176
1.612783857,1,7.86923172,8.995635195
1.612783857,4.204119983,7.041392685,8.146128036
1.612783857,2.079181246,7.041392685,7.944482672
1.707570176,5.146128036,8.397940009,8.301029996
1.77815125,,7.785329835,8.903089987
1.785329835,4.72427587,7.602059991,6.230448921
1.785329835,2.255272505,6.903089987,5.531478917
1.903089987,,7.995635195,9.255272505
1.903089987,,7.278753601,8.230448921
1.913813852,2.230448921,5.602059991,7.278753601
1.913813852,5.602059991,5.602059991,5.602059991
2,,8.041392685,9.113943352
2,4.041392685,7.875061263,9.041392685
2,,8.342422681,9
2,2.69019608,6.72427587,7.785329835
2,5.612783857,6.851258349,7.51851394
2,4.826074803,5.602059991,5.602059991
2.079181246,4.672097858,5.602059991,7.602059991
2.146128036,,7.544068044,8.342422681
2.204119983,4.477121255,7.255272505,7.770852012
2.230448921,5.602059991,6.84509804,7.77815125
2.278753601,1.491361694,5.602059991,8.602059991
2.414973348,,7,7.531478917
2.431363764,3.544068044,7.633468456,7.361727836
2.447158031,,7.505149978,7.748188027
2.556302501,4.875061263,7.748188027,8.113943352
2.568201724,7,7.278753601,8.447158031
2.579783597,5.602059991,7.204119983,8.447158031
2.579783597,5.278753601,5.113943352,7.939519253
2.681241237,,4,8.204119983
2.740362689,5.602059991,7.361727836,8.230448921
2.748188027,7.602059991,8.204119983,8.447158031
2.792391689,5.361727836,3.301029996,5.602059991
2.812913357,3.612783857,6.755874856,8.505149978
2.913813852,3.176091259,7.954242509,8.51851394
2.924279286,4.342422681,7.568201724,8.361727836
2.944482672,2.763427994,7.146128036,8.176091259
3.176091259,4.342422681,7.908485019,8.255272505
3.414973348,2.431363764,5.602059991,7.602059991
3.477121255,5.602059991,4.447158031,7.73239376
3.51851394,5.322219295,7.602059991,8.342422681
3.531478917,3.230448921,7.602059991,8.342422681
3.857332496,5.602059991,7.602059991,8.230448921
4.079181246,4.146128036,7.113943352,7.662757832
4.204119983,5.602059991,7.602059991,8.204119983
5.079181246,3.633468456,7.579783597,8.176091259
5.602059991,5.602059991,5.397940009,8.579783597
5.602059991,5.146128036,5.079181246,8.544068044
5.602059991,,7.544068044,7.886490725
