"lag","mumax","LOG10N0","LOG10Nmax","Isolate","BIC_b","BIC_g","BIC_ba","Bio_Replicate"
"29.886780133237","0.0793955103515453","2.96534817149657","8.50886768305865","FSL R10-0531","-55.3191276125212","-17.7265252265656","-46.0366130315581",1
"17.8579160168036","0.0691728512191588","3.00205294869169","8.5701113705","FSL R10-1099","-55.3191276125212","-17.7265252265656","-46.0366130315581",1
"18.7164199030159","0.0684899982737772","3.34632694439471","8.69474478875","FSL R10-1113","-5.61337260054812","-16.2445507283694","-12.9785825543459",1
"8.55994447199196","0.0697183473152302","3.22767498876628","8.4021691777","FSL R10-0941","27.6173561597397","19.3425707906426","25.1216676948215",1
"2.69571896401445","0.0793178213404661","3.2413703777155","8.17284393366667","FSL R10-0054","24.0110174077877","-14.3059287058789","2.33863026511997",1
"8.0000781125563","0.0713023545250027","3.24795040391259","7.85654410872842","FSL R10-0151","23.0187973294654","26.3547604549183","23.1796246691",1
"7.00812858526575","0.0767147803633021","2.76969064517131","8.04709639575","FSL R10-0553","9.82595088271816","-38.753838236968","-3.93813744824295",1
"31.7749301951732","0.0776393241141264","2.9518004239209","8.497106535875","FSL R10-0531","-28.4157416652906","-16.664487218292","-39.5750761243751",2
"18.6886280114844","0.0656196021581967","3.11608606132623","8.54185197","FSL R10-1099","-28.4157416652906","-16.664487218292","-39.5750761243751",2
"19.4058578787176","0.0668422368240791","3.31265116835489","8.716118493875","FSL R10-1113","-16.7480596805938","-38.7795297091699","-27.4340691493584",2
"4.38321002106095","0.0646145302837206","3.37100689204748","8.4102260658","FSL R10-0941","29.140941526203","23.0627029916819","23.7248760838142",2
"10.270865662556","0.0933177998574163","3.35109955024338","8.09416314121429","FSL R10-0054","7.72192240681728","-22.996439878937","1.72458227660606",2
"11.9980429328352","0.0745058607738047","3.2593060556695","7.87639108367106","FSL R10-0151","15.3665075036865","18.5473012358894","18.5186002564331",2
"7.22814441665758","0.0738828721067205","2.92575555217741","7.98842418566667","FSL R10-0553","27.1603095947489","2.16164966413155","17.410458207174",2
"31.901977887283","0.0726638628359552","2.9209017588136","8.446345266125","FSL R10-0531","-32.3375324758917","-30.8758858488374","-55.3831982660687",3
"17.8199421361064","0.0614130206543403","3.07165285056418","8.56039919666667","FSL R10-1099","-32.3375324758917","-30.8758858488374","-55.3831982660687",3
"27.3951706356026","0.0644704330355764","3.45061438670363","8.626436061625","FSL R10-1113","-30.0859718337413","-54.935074570329","-52.7825158824429",3
"4.00005943974819","0.0621214756770642","3.38114583159762","8.41842781450118","FSL R10-0941","34.6786501014158","24.0570593822524","25.2160483292793",3
"18.2705106786118","0.080393239383612","3.41311301975","8.09518351866667","FSL R10-0054","30.6531174613517","23.5814148866869","29.7773803801263",3
"7.99890299560543","0.0709881534434178","3.23380655164268","7.87432638544697","FSL R10-0151","13.6673569915039","16.5508974942003","14.122303266985",3
"3.95731893304411","0.0676454297461222","2.80814441065871","8.0512545678","FSL R10-0553","6.50168847548194","-30.7994190573824","-3.89845775153066",3
