,,,,,,,,,,,,,normalized,normalized log
48,FSL R10-0990,3.183384305,1.53E+03,1,0.97,-0.011208222,,120,FSL R10-0084,7.429675489,2.69E+07,3,14105.26,4.149381178
48,FSL R10-0990,3.080721938,1.20E+03,1,0.16,-0.804480189,,144,FSL R10-0084,7.802544658,6.35E+07,2,24898.33,4.396170247
48,FSL R10-3286,5.517089456,3.29E+05,1,43.01,1.633534463,,144,FSL R10-0084,7.755365595,5.69E+07,2,21988.98,4.342205164
48,FSL R10-3286,5.502075308,3.18E+05,1,39.60,1.597711575,,144,FSL R10-0084,7.802544658,6.35E+07,3,33285.14,4.522250347
48,FSL R10-2381,4.123150487,1.33E+04,1,1.84,0.265314443,,144,FSL R10-0084,7.760086227,5.76E+07,3,30185.05,4.479791916
48,FSL R10-2381,4.10663541,1.28E+04,1,1.96,0.292296788,,168,FSL R10-0084,8.111656212,1.29E+08,2,50731.98,4.705281801
60,FSL R10-0084,5.174765998,1.50E+05,1,13.51,1.13076828,,168,FSL R10-0084,8.092955703,1.24E+08,2,47840.45,4.679795273
60,FSL R10-0084,5.103255672,1.27E+05,1,11.24,1.050725277,,168,FSL R10-0084,7.97604907,9.46E+07,3,49631.20,4.695754759
60,FSL R10-0990,3.381751933,2.41E+03,1,1.54,0.18611739,,168,FSL R10-0084,7.94786874,8.87E+07,3,46513.01,4.667574428
60,FSL R10-0990,3.298205898,1.99E+03,1,1.39,0.143517039,,192,FSL R10-0084,8.214380622,1.64E+08,2,64269.69,4.808006211
60,FSL R10-3286,5.614841937,4.12E+05,1,53.86,1.731235781,,192,FSL R10-0084,8.258799746,1.81E+08,2,70087.30,4.845639316
60,FSL R10-3286,5.664120092,4.61E+05,1,57.41,1.75898538,,192,FSL R10-0084,8.184417393,1.53E+08,3,80190.53,4.904123081
60,FSL R10-2381,4.227542055,1.69E+04,1,2.34,0.369349507,,192,FSL R10-0084,8.164895278,1.46E+08,3,76665.68,4.884600967
60,FSL R10-2381,4.209903326,1.62E+04,1,2.48,0.394601833,,216,FSL R10-0084,8.227542052,1.69E+08,2,66247.22,4.821167641
72,FSL R10-0084,6.561157099,3.64E+06,1,327.93,2.515778405,,216,FSL R10-0084,8.270698993,1.87E+08,2,72034.17,4.857538562
72,FSL R10-0084,6.860934318,7.26E+06,1,642.48,2.807858177,,216,FSL R10-0084,8.149655283,1.41E+08,3,74022.03,4.869360971
72,FSL R10-0990,3.829374233,6.75E+03,1,4.30,0.63340412,,216,FSL R10-0084,8.162392136,1.45E+08,3,76225.07,4.882097825
72,FSL R10-0990,3.771668098,5.91E+03,1,4.13,0.616251443,,,,,,,,
72,FSL R10-3286,6.495478321,3.13E+06,1,409.15,2.611882902,,,,,,,,
72,FSL R10-3286,6.443771479,2.78E+06,1,346.20,2.539329251,,,,,,,,
72,FSL R10-2381,4.922902405,8.37E+04,1,11.59,1.06418826,,,,,,,,
72,FSL R10-2381,4.899135694,7.93E+04,1,12.14,1.084360006,,,,,,,,
96,FSL R10-0084,6.814945536,6.53E+06,1,588.29,2.769590202,,,,,,,,
96,FSL R10-0084,6.824398533,6.67E+06,1,590.27,2.77104739,,,,,,,,
96,FSL R10-0990,4.519192611,3.31E+04,1,21.08,1.323928341,,,,,,,,
96,FSL R10-0990,4.510718287,3.24E+04,1,22.66,1.355208973,,,,,,,,
96,FSL R10-3286,7.177982685,1.51E+07,1,1973.86,3.295315512,,,,,,,,
96,FSL R10-3286,7.226032607,1.68E+07,1,2092.15,3.320593736,,,,,,,,
96,FSL R10-2381,5.700151901,5.01E+05,1,69.39,1.841300528,,,,,,,,
96,FSL R10-2381,5.665620239,4.63E+05,1,70.90,1.85066781,,,,,,,,
120,FSL R10-0084,7.545608766,3.51E+07,1,3162.16,3.499984138,,,,,,,,
120,FSL R10-0084,7.512085708,3.25E+07,1,2876.11,3.458804917,,,,,,,,
120,FSL R10-0990,5.126379474,1.34E+05,1,85.35,1.931205146,,,,,,,,
120,FSL R10-0990,5.108315477,1.28E+05,1,89.51,1.951873932,,,,,,,,
120,FSL R10-3286,7.787380721,6.13E+07,1,8013.07,3.903799039,,,,,,,,
120,FSL R10-3286,7.833358583,6.81E+07,1,8480.70,3.928431567,,,,,,,,
120,FSL R10-2381,6.299094354,1.99E+06,1,275.62,2.440315879,,,,,,,,
120,FSL R10-2381,6.376132445,2.38E+06,1,364.47,2.561663776,,,,,,,,
168,FSL R10-0084,7.798265866,6.28E+07,1,5657.66,3.752636665,,,,,,,,
168,FSL R10-0084,7.802544658,6.35E+07,1,5619.47,3.749695282,,,,,,,,
168,FSL R10-0990,6.019298152,1.05E+06,1,668.79,2.825289647,,,,,,,,
168,FSL R10-0990,5.947868748,8.87E+05,1,620.28,2.792587582,,,,,,,,
168,FSL R10-3286,8.026846563,1.06E+08,1,13856.21,4.14164443,,,,,,,,
168,FSL R10-3286,8.065998706,1.16E+08,1,14445.83,4.159742444,,,,,,,,
168,FSL R10-2381,6.612200875,4.09E+06,1,566.48,2.75318611,,,,,,,,
168,FSL R10-2381,6.601423773,3.99E+06,1,611.03,2.786059714,,,,,,,,
192,FSL R10-0084,7.880304301,7.59E+07,1,6837.84,3.834918797,,,,,,,,
192,FSL R10-0084,7.925464615,8.42E+07,1,7451.33,3.872233648,,,,,,,,
192,FSL R10-0990,6.785170576,6.10E+06,1,3885.35,3.589430183,,,,,,,,
192,FSL R10-0990,6.713022563,5.16E+06,1,3608.39,3.557313664,,,,,,,,
192,FSL R10-3286,8.256813194,1.81E+08,1,23660.13,4.37401714,,,,,,,,
192,FSL R10-3286,8.327876558,2.13E+08,1,26525.53,4.423664058,,,,,,,,
192,FSL R10-2381,6.93556495,8.62E+06,1,1193.91,3.076970068,,,,,,,,
192,FSL R10-2381,6.845097016,7.00E+06,1,1071.98,3.030184859,,,,,,,,
216,FSL R10-0084,8.04136868,1.10E+08,1,9909.91,3.996069706,,,,,,,,
216,FSL R10-0084,8.015161981,1.04E+08,1,9203.54,3.963954896,,,,,,,,
216,FSL R10-0990,6.998211764,9.96E+06,1,6343.95,3.802359686,,,,,,,,
216,FSL R10-0990,7.002511761,1.01E+07,1,7062.94,3.848985336,,,,,,,,
216,FSL R10-3286,8.492902379,3.11E+08,1,40653.59,4.609098954,,,,,,,,
216,FSL R10-3286,8.535566797,3.43E+08,1,42714.82,4.630578575,,,,,,,,
216,FSL R10-2381,6.982817422,9.61E+06,1,1331.02,3.12418619,,,,,,,,
216,FSL R10-2381,7.064231573,1.16E+07,1,1776.42,3.249544808,,,,,,,,
240,FSL R10-0084,8.183384289,1.53E+08,1,13783.78,4.139368452,,,,,,,,
240,FSL R10-0084,8.381751959,2.41E+08,1,21327.43,4.328938599,,,,,,,,
240,FSL R10-0990,7.327466544,2.13E+07,1,13566.88,4.132479951,,,,,,,,
240,FSL R10-0990,7.339319364,2.18E+07,1,15244.76,4.183120456,,,,,,,,
240,FSL R10-3286,8.764756088,5.82E+08,1,76078.43,4.881261549,,,,,,,,
240,FSL R10-3286,8.78738071,6.13E+08,1,76338.73,4.882744929,,,,,,,,
240,FSL R10-2381,7.139060489,1.38E+07,1,1911.36,3.281341889,,,,,,,,
240,FSL R10-2381,7.126379472,1.34E+07,1,2052.07,3.312191617,,,,,,,,
264,FSL R10-0084,8.395992399,2.49E+08,1,22432.43,4.350876368,,,,,,,,
264,FSL R10-0084,8.36326853,2.31E+08,1,20442.48,4.310533536,,,,,,,,
264,FSL R10-0990,7.501227796,3.17E+07,1,20191.08,4.30515961,,,,,,,,
264,FSL R10-0990,7.583604077,3.83E+07,1,26783.22,4.427862737,,,,,,,,
264,FSL R10-3286,8.987271782,9.71E+08,1,126928.10,5.103557795,,,,,,,,
264,FSL R10-3286,8.897748211,7.90E+08,1,98381.07,4.992911546,,,,,,,,
264,FSL R10-2381,7.21660209,1.65E+07,1,2285.32,3.358946747,,,,,,,,
264,FSL R10-2381,7.167384069,1.47E+07,1,2251.15,3.352404153,,,,,,,,
288,FSL R10-0084,8.533019612,3.41E+08,1,30720.72,4.4874314,,,,,,,,
288,FSL R10-0084,8.610066733,4.07E+08,1,36017.70,4.556515966,,,,,,,,
288,FSL R10-0990,7.7647561,5.82E+07,1,37070.06,4.569023332,,,,,,,,
288,FSL R10-0990,7.75298588,5.66E+07,1,39580.42,4.597480394,,,,,,,,
288,FSL R10-3286,9.087712652,1.22E+09,1,159477.12,5.202698396,,,,,,,,
288,FSL R10-3286,9.033472188,1.08E+09,1,134495.64,5.12870821,,,,,,,,
288,FSL R10-2381,7.275698568,1.89E+07,1,2617.73,3.417924607,,,,,,,,
288,FSL R10-2381,7.315407916,2.07E+07,1,3169.98,3.501057164,,,,,,,,
360,FSL R10-0084,8.652818729,4.50E+08,1,40540.54,4.607889535,,,,,,,,
360,FSL R10-0084,8.752985868,5.66E+08,1,50088.50,4.699737988,,,,,,,,
360,FSL R10-0990,8.018574052,1.04E+08,1,66242.04,4.821133687,,,,,,,,
360,FSL R10-0990,8.058445552,1.14E+08,1,79720.28,4.901568814,,,,,,,,
360,FSL R10-3286,9.165893571,1.47E+09,1,192156.86,5.2836559,,,,,,,,
360,FSL R10-3286,9.165893571,1.47E+09,1,183063.51,5.262601789,,,,,,,,
360,FSL R10-2381,7.395992371,2.49E+07,1,3448.75,3.53766215,,,,,,,,
360,FSL R10-2381,7.484414279,3.05E+07,1,4670.75,3.669386658,,,,,,,,
384,FSL R10-0990,8.189061411,1.55E+08,1,98726.11,4.994432046,,,,,,,,
384,FSL R10-0990,8.165893543,1.47E+08,1,102797.20,5.011981297,,,,,,,,
384,FSL R10-3286,9.194665296,1.57E+09,1,205228.76,5.312238217,,,,,,,,
384,FSL R10-3286,9.237069165,1.73E+09,1,215442.09,5.333330558,,,,,,,,
384,FSL R10-2381,7.492902412,3.11E+07,1,4307.48,3.634223191,,,,,,,,
384,FSL R10-2381,7.448698747,2.81E+07,1,4303.22,3.633793139,,,,,,,,
