Hour,Isolate,LogCount,Count
96,FSL R10-0941,5.712424763,5.16E+05
96,FSL R10-0054,7.169430891,1.48E+07
96,FSL R10-0054,7.105761798,1.28E+07
96,FSL R10-0151,6.043320566,1.10E+06
96,FSL R10-0151,6.01307905,1.03E+06
96,FSL R10-0553,6.085950796,1.22E+06
96,FSL R10-0553,6.058627702,1.14E+06
120,FSL R10-0531,6.272223072,1.87E+06
120,FSL R10-0531,6.215064977,1.64E+06
120,FSL R10-1099,6.493256856,3.11E+06
120,FSL R10-1099,6.465673337,2.92E+06
120,FSL R10-1113,6.764323625,5.81E+06
120,FSL R10-1113,6.761930806,5.78E+06
120,FSL R10-0941,6.880566803,7.60E+06
120,FSL R10-0941,6.868400895,7.39E+06
144,FSL R10-0531,6.926084263,8.43E+06
144,FSL R10-0531,6.854500246,7.15E+06
144,FSL R10-1099,6.860934318,7.26E+06
144,FSL R10-1099,6.843703673,6.98E+06
144,FSL R10-1113,6.797614803,6.28E+06
144,FSL R10-1113,6.842708723,6.96E+06
144,FSL R10-0941,7.35085727,2.24E+07
144,FSL R10-0941,7.347591879,2.23E+07
144,FSL R10-0054,7.520054634,3.31E+07
144,FSL R10-0054,7.545608766,3.51E+07
144,FSL R10-0151,7.304557261,2.02E+07
144,FSL R10-0151,7.262802512,1.83E+07
144,FSL R10-0553,7.136533622,1.37E+07
144,FSL R10-0553,7.212147743,1.63E+07
168,FSL R10-0531,7.525441532,3.35E+07
168,FSL R10-0531,7.786421006,6.12E+07
168,FSL R10-1099,7.481975838,3.03E+07
168,FSL R10-1099,7.67889344,4.77E+07
168,FSL R10-1113,8.064231558,1.16E+08
168,FSL R10-1113,8.141829955,1.39E+08
168,FSL R10-0941,7.843162488,6.97E+07
168,FSL R10-0941,7.93556494,8.62E+07
168,FSL R10-0054,7.922902419,8.37E+07
168,FSL R10-0054,7.978316949,9.51E+07
168,FSL R10-0151,7.817196942,6.56E+07
168,FSL R10-0151,7.778471786,6.00E+07
168,FSL R10-0553,7.590612081,3.90E+07
168,FSL R10-0553,7.604622787,4.02E+07
192,FSL R10-0531,8.531601851,3.40E+08
192,FSL R10-0531,8.566834208,3.69E+08
192,FSL R10-1099,7.94786874,8.87E+07
192,FSL R10-1099,8.015161981,1.04E+08
192,FSL R10-1113,8.09468943,1.24E+08
192,FSL R10-1113,8.291701948,1.96E+08
192,FSL R10-0941,7.933061815,8.57E+07
192,FSL R10-0941,7.978316949,9.51E+07
192,FSL R10-0054,8.121526964,1.32E+08
192,FSL R10-0054,8.223199076,1.67E+08
192,FSL R10-0151,8.017235006,1.04E+08
192,FSL R10-0151,7.802544658,6.35E+07
192,FSL R10-0553,7.796110542,6.25E+07
192,FSL R10-0553,7.787380721,6.13E+07
216,FSL R10-0531,8.419841991,2.63E+08
216,FSL R10-0531,8.381751959,2.41E+08
216,FSL R10-1099,8.39948072,2.51E+08
216,FSL R10-1099,8.419841991,2.63E+08
216,FSL R10-1113,8.581324316,3.81E+08
216,FSL R10-1113,8.560249293,3.63E+08
216,FSL R10-0941,8.221648803,1.67E+08
