"","lag","mumax","LOG10N0","LOG10Nmax","BIC_b","BIC_g","BIC_ba","Bio_Replicate"
"R100531bioone",29.886780133237,0.0793955103515453,2.96534817149657,8.50886768305865,-55.3191276125212,-17.7265252265656,-46.0366130315581,1
"R101099bioone",17.8579160168036,0.0691728512191588,3.00205294869169,8.5701113705,-55.3191276125212,-17.7265252265656,-46.0366130315581,1
"R101113bioone",18.7164199030159,0.0684899982737772,3.34632694439471,8.69474478875,-5.61337260054812,-16.2445507283694,-12.9785825543459,1
"R100941bioone",8.55994469009414,0.069718347339953,3.22767499377402,8.4021691777,27.6173561597397,19.342570790356,25.121667693849,1
"R100054bioone",2.69571896401445,0.0793178213404661,3.2413703777155,8.17284393366667,24.0110174077877,-14.3059287058789,2.33863026511997,1
"R100151bioone",8.0000781125563,0.0713023545250027,3.24795040391259,7.85654410872842,23.0187973294654,26.3547604549183,23.1796246691,1
"R100553bioone",7.00812858526575,0.0767147803633021,2.76969064517131,8.04709639575,9.82595088271816,-38.753838236968,-3.93813744824295,1
