Hour,Isolate,LogCount,Count
0,FSL R10-0531,2.870772421,7.43E+02
0,FSL R10-0531,2.870772421,7.43E+02
0,FSL R10-1099,2.983811936,9.63E+02
0,FSL R10-1099,3.094962397,1.24E+03
0,FSL R10-1113,3.351788713,2.25E+03
0,FSL R10-1113,3.331954501,2.15E+03
0,FSL R10-0941,3.347893676,2.23E+03
0,FSL R10-0941,3.472832412,2.97E+03
0,FSL R10-0054,3.351788713,2.25E+03
0,FSL R10-0054,3.367028701,2.33E+03
0,FSL R10-0151,3.293796786,1.97E+03
0,FSL R10-0151,3.284841931,1.93E+03
0,FSL R10-0553,2.915354548,8.23E+02
0,FSL R10-0553,2.915354548,8.23E+02
4,FSL R10-0531,2.904630701,8.03E+02
4,FSL R10-0531,2.965328532,9.23E+02
4,FSL R10-1099,3.122114639,1.32E+03
4,FSL R10-1099,3.101911245,1.26E+03
4,FSL R10-1113,3.331954501,2.15E+03
4,FSL R10-1113,3.31117088,2.05E+03
4,FSL R10-0941,3.315407926,2.07E+03
4,FSL R10-0941,3.347893676,2.23E+03
4,FSL R10-0054,3.370756567,2.35E+03
4,FSL R10-0054,3.247053375,1.77E+03
4,FSL R10-0151,3.370756567,2.35E+03
4,FSL R10-0151,3.374452707,2.37E+03
4,FSL R10-0553,3.0015407,1.00E+03
4,FSL R10-0553,2.870772421,7.43E+02
8,FSL R10-0531,2.893635301,7.83E+02
8,FSL R10-0531,3.0015407,1.00E+03
8,FSL R10-1099,3.073422711,1.18E+03
8,FSL R10-1099,3.135079595,1.36E+03
8,FSL R10-1113,3.323759986,2.11E+03
8,FSL R10-1113,3.426422339,2.67E+03
8,FSL R10-0941,3.289342425,1.95E+03
8,FSL R10-0941,3.261612101,1.83E+03
8,FSL R10-0054,3.402941241,2.53E+03
8,FSL R10-0054,3.367028701,2.33E+03
8,FSL R10-0151,3.141419801,1.38E+03
8,FSL R10-0151,3.242089964,1.75E+03
8,FSL R10-0553,3.0015407,1.00E+03
8,FSL R10-0553,2.94602338,8.83E+02
12,FSL R10-0531,2.882354309,7.63E+02
12,FSL R10-0531,2.904630701,8.03E+02
12,FSL R10-1099,3.343963388,2.21E+03
12,FSL R10-1099,3.073422711,1.18E+03
12,FSL R10-1113,3.315407926,2.07E+03
12,FSL R10-1113,3.108750659,1.28E+03
12,FSL R10-0941,3.351788713,2.25E+03
12,FSL R10-0941,3.298205898,1.99E+03
12,FSL R10-0054,3.426422339,2.67E+03
12,FSL R10-0054,3.423144635,2.65E+03
12,FSL R10-0151,2.779691942,6.02E+02
12,FSL R10-0151,2.807720663,6.42E+02
12,FSL R10-0553,2.870772421,7.43E+02
12,FSL R10-0553,4.058627692,1.14E+04
24,FSL R10-0531,3.05844558,1.14E+03
24,FSL R10-0531,3.165893567,1.47E+03
24,FSL R10-1099,3.426422339,2.67E+03
24,FSL R10-1099,3.343963388,2.21E+03
24,FSL R10-1113,3.567388524,3.69E+03
24,FSL R10-1113,3.565021794,3.67E+03
24,FSL R10-0941,4.184417388,1.53E+04
24,FSL R10-0941,4.302743896,2.01E+04
24,FSL R10-0054,3.933061827,8.57E+03
24,FSL R10-0054,3.906214263,8.06E+03
24,FSL R10-0151,3.813060761,6.50E+03
24,FSL R10-0151,3.813060761,6.50E+03
24,FSL R10-0553,3.355649128,2.27E+03
24,FSL R10-0553,3.41316043,2.59E+03
36,FSL R10-0531,3.242089964,1.75E+03
36,FSL R10-0531,3.266358528,1.85E+03
36,FSL R10-1099,3.484414301,3.05E+03
36,FSL R10-1099,3.487262139,3.07E+03
36,FSL R10-1113,3.745767508,5.57E+03
36,FSL R10-1113,3.718223776,5.23E+03
36,FSL R10-0941,4.484414294,3.05E+04
36,FSL R10-0941,4.484414294,3.05E+04
36,FSL R10-0054,4.137495481,1.37E+04
36,FSL R10-0054,4.189163839,1.55E+04
36,FSL R10-0151,3.985050309,9.66E+03
36,FSL R10-0151,4.029469464,1.07E+04
36,FSL R10-0553,3.501227772,3.17E+03
36,FSL R10-0553,3.548083371,3.53E+03
48,FSL R10-0531,3.588128004,3.87E+03
48,FSL R10-0531,3.555423722,3.59E+03
48,FSL R10-1099,4.037438404,1.09E+04
48,FSL R10-1099,4.03147545,1.08E+04
48,FSL R10-1113,4.101555878,1.26E+04
48,FSL R10-1113,4.196187604,1.57E+04
48,FSL R10-0941,4.718223776,5.23E+04
48,FSL R10-0941,4.735952549,5.44E+04
48,FSL R10-0054,5.042843972,1.10E+05
48,FSL R10-0054,5.07620657,1.19E+05
48,FSL R10-0151,4.479684046,3.02E+04
48,FSL R10-0151,4.628103871,4.25E+04
48,FSL R10-0553,4.131171892,1.35E+04
48,FSL R10-0553,4.167384063,1.47E+04
60,FSL R10-0531,3.733463726,5.41E+03
60,FSL R10-0531,3.725910596,5.32E+03
60,FSL R10-1099,4.162392101,1.45E+04
60,FSL R10-1099,4.177199049,1.50E+04
60,FSL R10-1113,4.286073852,1.93E+04
60,FSL R10-1113,4.238213217,1.73E+04
60,FSL R10-0941,4.804668343,6.38E+04
60,FSL R10-0941,4.760086212,5.76E+04
60,FSL R10-0054,5.175556431,1.50E+05
60,FSL R10-0054,5.129393237,1.35E+05
60,FSL R10-0151,4.778410082,6.00E+04
60,FSL R10-0151,4.772596149,5.92E+04
60,FSL R10-0553,4.349227655,2.23E+04
60,FSL R10-0553,4.412737242,2.59E+04
72,FSL R10-0531,4.147668747,1.40E+04
72,FSL R10-0531,4.226849973,1.69E+04
72,FSL R10-1099,4.552990709,3.57E+04
72,FSL R10-1099,4.54560875,3.51E+04
72,FSL R10-1113,4.854642309,7.16E+04
72,FSL R10-1113,4.907203326,8.08E+04
72,FSL R10-0941,5.286073852,1.93E+05
72,FSL R10-0941,5.272650872,1.87E+05
72,FSL R10-0054,6.141402147,1.38E+06
72,FSL R10-0054,6.03618799,1.09E+06
72,FSL R10-0151,5.517089456,3.29E+05
72,FSL R10-0151,5.339319369,2.18E+05
72,FSL R10-0553,5.147062459,1.40E+05
72,FSL R10-0553,5.029469449,1.07E+05
96,FSL R10-0531,5.043320578,1.10E+05
96,FSL R10-0531,5.058627685,1.14E+05
96,FSL R10-1099,5.231842055,1.71E+05
96,FSL R10-1099,5.274594018,1.88E+05
96,FSL R10-1113,5.463293648,2.91E+05
96,FSL R10-1113,5.293561871,1.97E+05
96,FSL R10-0941,5.767888306,5.86E+05
96,FSL R10-0941,5.6774385,4.76E+05
96,FSL R10-0054,7.063797322,1.16E+07
96,FSL R10-0054,7.121198767,1.32E+07
96,FSL R10-0151,6.067927714,1.17E+06
96,FSL R10-0151,6.098136248,1.25E+06
96,FSL R10-0553,6.033472209,1.08E+06
96,FSL R10-0553,6.037438401,1.09E+06
120,FSL R10-0531,6.073137345,1.18E+06
120,FSL R10-0531,6.012054315,1.03E+06
120,FSL R10-1099,6.23821323,1.73E+06
120,FSL R10-1099,6.240316345,1.74E+06
120,FSL R10-1113,6.523368538,3.34E+06
120,FSL R10-1113,6.623177988,4.20E+06
120,FSL R10-0941,6.72956151,5.36E+06
120,FSL R10-0941,6.903921597,8.02E+06
120,FSL R10-0054,7.650380269,4.47E+07
120,FSL R10-0054,7.438750697,2.75E+07
120,FSL R10-0151,#NUM!,
120,FSL R10-0151,#NUM!,
120,FSL R10-0553,#NUM!,
120,FSL R10-0553,#NUM!,
144,FSL R10-0531,6.691772938,4.92E+06
144,FSL R10-0531,6.709727256,5.13E+06
144,FSL R10-1099,6.754672254,5.68E+06
144,FSL R10-1099,6.720418148,5.25E+06
144,FSL R10-1113,6.949224065,8.90E+06
144,FSL R10-1113,6.980823073,9.57E+06
144,FSL R10-0941,7.358914903,2.29E+07
144,FSL R10-0941,7.315281138,2.07E+07
144,FSL R10-0054,7.585871908,3.85E+07
144,FSL R10-0054,7.61854105,4.15E+07
144,FSL R10-0151,7.382227904,2.41E+07
144,FSL R10-0151,7.302743897,2.01E+07
144,FSL R10-0553,7.309952277,2.04E+07
144,FSL R10-0553,7.262802512,1.83E+07
168,FSL R10-0531,7.564950073,3.67E+07
168,FSL R10-0531,7.667115211,4.65E+07
168,FSL R10-1099,7.41004812,2.57E+07
168,FSL R10-1099,7.425938721,2.67E+07
168,FSL R10-1113,7.740887758,5.51E+07
168,FSL R10-1113,7.745767517,5.57E+07
168,FSL R10-0941,7.85652647,7.19E+07
168,FSL R10-0941,7.837306762,6.88E+07
168,FSL R10-0054,7.912499661,8.18E+07
168,FSL R10-0054,7.847022929,7.03E+07
168,FSL R10-0151,7.782949112,6.07E+07
168,FSL R10-0151,7.847022929,7.03E+07
168,FSL R10-0553,7.486523477,3.07E+07
168,FSL R10-0553,7.456075262,2.86E+07
192,FSL R10-0531,8.650380269,4.47E+08
192,FSL R10-0531,8.010986041,1.03E+08
192,FSL R10-1099,7.964528668,9.22E+07
192,FSL R10-1099,7.876729868,7.53E+07
