"","lag","mumax","LOG10N0","LOG10Nmax","BIC_b","BIC_g","BIC_ba","Bio_Replicate"
"R100531bioone",31.7749301951732,0.0776393241141264,2.9518004239209,8.497106535875,-28.4157416652906,-16.664487218292,-39.5750761243751,2
"R101099bioone",18.6886280114844,0.0656196021581967,3.11608606132623,8.54185197,-28.4157416652906,-16.664487218292,-39.5750761243751,2
"R101113bioone",19.4058578787176,0.0668422368240791,3.31265116835489,8.716118493875,-16.7480596805938,-38.7795297091699,-27.4340691493584,2
"R100941bioone",4.38321701548096,0.0646145317089935,3.37100702298366,8.4102260658,29.1409415262037,23.0627029895382,23.7248760822677,2
"R100054bioone",10.270865662556,0.0933177998574163,3.35109955024338,8.09416314121429,7.72192240681728,-22.996439878937,1.72458227660606,2
"R100151bioone",11.9980429328352,0.0745058607738047,3.2593060556695,7.87639108367106,15.3665075036865,18.5473012358894,18.5186002564331,2
"R100553bioone",7.22814441665758,0.0738828721067205,2.92575555217741,7.98842418566667,27.1603095947489,2.16164966413155,17.410458207174,2
