Hour,Isolate,LogCount,Count
96,FSL R10-0941,5.708372215,5.11E+05
96,FSL R10-0941,5.713767244,5.17E+05
96,FSL R10-0054,6.748529357,5.60E+06
96,FSL R10-0054,6.720418148,5.25E+06
96,FSL R10-0151,6.078831091,1.20E+06
96,FSL R10-0151,6.309952283,2.04E+06
96,FSL R10-0553,5.856526457,7.19E+05
96,FSL R10-0553,5.771668077,5.91E+05
120,FSL R10-0531,5.734701142,5.43E+05
120,FSL R10-0531,5.724360313,5.30E+05
120,FSL R10-1099,5.907203301,8.08E+05
120,FSL R10-1099,5.871312405,7.44E+05
120,FSL R10-1113,6.189163839,1.55E+06
120,FSL R10-1113,6.167384062,1.47E+06
120,FSL R10-0941,6.780714046,6.04E+06
120,FSL R10-0941,6.855884336,7.18E+06
120,FSL R10-0054,6.62482617,4.22E+06
120,FSL R10-0054,6.628103888,4.25E+06
144,FSL R10-0531,6.362096594,2.30E+06
144,FSL R10-0531,6.337645768,2.18E+06
144,FSL R10-1099,6.44021984,2.76E+06
144,FSL R10-1099,6.425938697,2.67E+06
144,FSL R10-1113,6.726968693,5.33E+06
144,FSL R10-1113,6.723050251,5.29E+06
144,FSL R10-0941,7.200807805,1.59E+07
144,FSL R10-0941,7.186797103,1.54E+07
144,FSL R10-0054,7.603600694,4.01E+07
144,FSL R10-0054,7.70775833,5.10E+07
144,FSL R10-0151,7.266768704,1.85E+07
144,FSL R10-0151,7.320545363,2.09E+07
144,FSL R10-0553,7.128465991,1.34E+07
144,FSL R10-0553,7.162392118,1.45E+07
168,FSL R10-0531,7.379190863,2.39E+07
168,FSL R10-0531,7.488779563,3.08E+07
168,FSL R10-1099,7.376132435,2.38E+07
168,FSL R10-1099,7.412737265,2.59E+07
168,FSL R10-1113,7.533019612,3.41E+07
168,FSL R10-1113,7.503967823,3.19E+07
168,FSL R10-0941,7.607922051,4.05E+07
168,FSL R10-0941,7.705102106,5.07E+07
168,FSL R10-0054,7.748187003,5.60E+07
168,FSL R10-0054,7.75298588,5.66E+07
168,FSL R10-0151,7.813060778,6.50E+07
168,FSL R10-0151,7.800410518,6.32E+07
168,FSL R10-0553,7.238213212,1.73E+07
168,FSL R10-0553,7.488779563,3.08E+07
192,FSL R10-0531,7.93805376,8.67E+07
192,FSL R10-0531,7.930544139,8.52E+07
192,FSL R10-1099,7.71039844,5.13E+07
192,FSL R10-1099,7.628906546,4.26E+07
192,FSL R10-1113,7.899135681,7.93E+07
192,FSL R10-1113,7.989481926,9.76E+07
192,FSL R10-0941,7.850849357,7.09E+07
192,FSL R10-0941,7.909859544,8.13E+07
192,FSL R10-0054,8.062371637,1.15E+08
192,FSL R10-0054,7.959833548,9.12E+07
192,FSL R10-0151,7.899135681,7.93E+07
192,FSL R10-0151,7.71039844,5.13E+07
192,FSL R10-0553,7.705102106,5.07E+07
192,FSL R10-0553,7.628906546,4.26E+07
216,FSL R10-0531,8.237069133,1.73E+08
216,FSL R10-0531,8.302570707,2.01E+08
216,FSL R10-1099,8.171802438,1.49E+08
216,FSL R10-1099,8.266358532,1.85E+08
216,FSL R10-1113,8.402941246,2.53E+08
