ST,Frequency,mu
3,0.654%,0.058480483
4,0.654%,0.058480483
19,0.218%,0.058480483
43,0.218%,0.058480483
54,0.654%,0.058480483
72,0.218%,0.058480483
76,0.218%,0.058480483
101,0.218%,0.058480483
149,0.218%,0.058480483
150,0.218%,0.058480483
102,0.218%,0.058480483
109,0.218%,0.075206383
41,2.179%,0.075206383
61,0.436%,0.077900209
74,0.436%,0.077900209
84,0.218%,0.077900209
98,0.218%,0.077900209
110,0.436%,0.077900209
114,0.218%,0.077900209
133,0.218%,0.077900209
134,0.218%,0.077900209
135,0.218%,0.077900209
141,0.218%,0.077900209
147,0.218%,0.077900209
81,0.654%,0.077900209
5,0.218%,0.079086165
18,0.436%,0.079086165
34,0.436%,0.079086165
46,0.218%,0.079086165
63,0.218%,0.079086165
71,0.871%,0.079086165
86,0.218%,0.079086165
94,0.218%,0.079086165
113,0.218%,0.079086165
122,0.218%,0.079086165
145,0.218%,0.079086165
17,1.525%,0.079086165
49,0.436%,0.081298374
53,0.436%,0.081298374
66,0.218%,0.081298374
93,0.218%,0.081298374
144,0.218%,0.081298374
48,0.218%,0.081298374
89,0.218%,0.08496699
75,0.871%,0.08496699
8,0.218%,0.086129367
10,0.871%,0.086129367
22,0.436%,0.086129367
57,0.218%,0.086129367
77,0.218%,0.086129367
78,1.089%,0.086129367
90,0.218%,0.086129367
106,0.436%,0.086129367
108,0.436%,0.086129367
24,1.089%,0.086129367
15,0.436%,0.089485312
21,0.436%,0.089485312
60,0.436%,0.089485312
80,0.218%,0.089485312
82,1.089%,0.089485312
112,0.218%,0.089485312
129,0.218%,0.089485312
52,6.972%,0.089485312
1,1.525%,0.094281702
30,0.654%,0.094281702
70,0.218%,0.094281702
125,0.218%,0.094281702
142,0.218%,0.094281702
2,2.179%,0.094281702
7,0.218%,0.098310344
50,0.218%,0.098310344
105,0.218%,0.098310344
116,0.436%,0.098310344
117,0.436%,0.098310344
127,0.436%,0.098310344
128,0.654%,0.098310344
6,1.307%,0.098310344
14,0.654%,0.100460176
39,0.218%,0.100460176
67,1.089%,0.100460176
87,0.218%,0.100460176
111,0.218%,0.100460176
13,8.932%,0.100460176
11,5.011%,0.100460176
12,0.218%,0.106559369
20,0.436%,0.106559369
33,1.743%,0.106559369
